Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
891.136,0.186,-24.314,61.05006105
891.536,0.387,-24.113,61.05006105
891.736,0.421,-24.079,61.05006105
891.935,0.555,-23.945,61.05006105
892.336,0.757,-23.743,61.05006105
892.535,0.891,-23.609,61.05006105
892.736,1.025,-23.475,61.05006105
892.936,1.16,-23.34,61.05006105
893.135,1.294,-23.206,61.05006105
893.536,1.563,-22.937,61.05006105
893.735,1.731,-22.769,61.05006105
893.935,1.865,-22.635,61.05006105
894.336,2.201,-22.299,61.05006105
894.535,2.336,-22.164,61.05006105
894.736,2.503,-21.997,61.05006105
894.936,2.672,-21.828,61.05006105
895.336,3.008,-21.492,61.05006105
895.536,3.176,-21.324,61.05006105
895.735,3.344,-21.156,61.05006105
896.136,3.68,-20.82,61.05006105
896.335,3.848,-20.652,61.05006105
896.536,4.016,-20.484,61.05006105
896.935,4.386,-20.114,61.05006105
897.135,4.554,-19.946,61.05006105
897.336,4.756,-19.744,61.05006105
897.536,4.924,-19.576,61.05006105
897.936,5.294,-19.206,61.05006105
898.136,5.462,-19.038,61.05006105
898.335,5.63,-18.87,61.05006105
898.536,5.832,-18.668,61.05006105
898.935,6.202,-18.298,61.05006105
899.136,6.37,-18.13,61.05006105
899.336,6.572,-17.928,61.05006105
899.535,6.74,-17.76,61.05006105
899.936,7.11,-17.39,61.05006105
900.135,7.278,-17.222,61.05006105
900.335,7.447,-17.053,61.05006105
900.736,7.817,-16.683,61.05006105
900.935,7.985,-16.515,61.05006105
901.136,8.187,-16.313,61.05006105
901.336,8.389,-16.111,61.05006105
901.736,8.725,-15.775,61.05006105
901.936,8.928,-15.572,61.05006105
902.135,9.096,-15.404,61.05006105
902.336,9.298,-15.202,61.05006105
902.735,9.635,-14.865,61.05006105
902.936,9.837,-14.663,61.05006105
903.136,10.005,-14.495,61.05006105
903.335,10.173,-14.327,61.05006105
903.736,10.544,-13.956,61.05006105
903.936,10.746,-13.754,61.05006105
904.135,10.914,-13.586,61.05006105
904.536,11.251,-13.249,61.05006105
904.735,11.453,-13.047,61.05006105
904.936,11.622,-12.878,61.05006105
905.136,11.79,-12.71,61.05006105
905.536,12.161,-12.339,61.05006105
905.736,12.329,-12.171,61.05006105
905.935,12.532,-11.968,61.05006105
906.136,12.7,-11.8,61.05006105
906.535,13.037,-11.463,61.05006105
906.735,13.206,-11.294,61.05006105
906.936,13.408,-11.092,61.05006105
907.136,13.576,-10.924,61.05006105
907.536,13.914,-10.586,61.05006105
907.736,14.082,-10.418,61.05006105
907.935,14.251,-10.249,61.05006105
908.336,14.588,-9.912,61.05006105
908.535,14.757,-9.743,61.05006105
908.736,14.959,-9.541,61.05006105
908.936,15.094,-9.406,61.05006105
909.336,15.465,-9.035,61.05006105
909.536,15.634,-8.866,61.05006105
909.735,15.802,-8.698,61.05006105
910.136,16.139,-8.361,61.05006105
910.336,16.274,-8.226,61.05006105
910.535,16.443,-8.057,61.05006105
910.736,16.612,-7.888,61.05006105
911.135,16.949,-7.551,61.05006105
911.336,17.118,-7.382,61.05006105
911.536,17.287,-7.213,61.05006105
911.735,17.455,-7.045,61.05006105
912.136,17.793,-6.707,61.05006105
912.335,17.928,-6.572,61.05006105
912.536,18.131,-6.369,61.05006105
912.736,18.265,-6.235,61.05006105
913.135,18.603,-5.897,61.05006105
913.336,18.772,-5.728,61.05006105
913.536,18.941,-5.559,61.05006105
913.735,19.11,-5.39,61.05006105
914.136,19.414,-5.086,61.05006105
914.335,19.549,-4.951,61.05006105
914.536,19.751,-4.749,61.05006105
914.935,20.055,-4.445,61.05006105
915.136,20.19,-4.31,61.05006105
915.336,20.359,-4.141,61.05006105
915.535,20.528,-3.972,61.05006105
915.936,20.832,-3.668,61.05006105
916.135,20.967,-3.533,61.05006105
916.335,21.17,-3.33,61.05006105
916.736,21.474,-3.026,61.05006105
916.935,21.609,-2.891,61.05006105
917.136,21.778,-2.722,61.05006105
917.535,22.082,-2.418,61.05006105
917.736,22.217,-2.283,61.05006105
917.936,22.387,-2.113,61.05006105
918.135,22.522,-1.978,61.05006105
918.536,22.86,-1.64,61.05006105
918.735,22.995,-1.505,61.05006105
918.936,23.164,-1.336,61.05006105
919.136,23.299,-1.201,61.05006105
919.535,23.604,-0.896,61.05006105
919.736,23.739,-0.761,61.05006105
919.936,23.908,-0.592,61.05006105
920.135,24.043,-0.457,61.05006105
920.536,24.348,-0.152,61.05006105
920.735,24.483,-0.017,61.05006105
920.936,24.618,0.118,61.05006105
921.136,24.787,0.287,61.05006105
921.536,25.092,0.592,61.05006105
921.736,25.227,0.727,61.05006105
921.935,25.396,0.896,61.05006105
922.136,25.531,1.031,61.05006105
922.535,25.836,1.336,61.05006105
922.735,25.938,1.438,61.05006105
922.936,26.107,1.607,61.05006105
923.335,26.377,1.877,61.05006105
923.536,26.547,2.047,61.05006105
923.736,26.682,2.182,61.05006105
924.136,26.953,2.453,61.05006105
924.336,27.088,2.588,61.05006105
924.535,27.257,2.757,61.05006105
924.736,27.359,2.859,61.05006105
925.135,27.664,3.164,61.05006105
925.336,27.799,3.299,61.05006105
925.536,27.934,3.434,61.05006105
925.935,28.205,3.705,61.05006105
926.136,28.341,3.841,61.05006105
926.336,28.476,3.976,61.05006105
926.535,28.612,4.112,61.05006105
926.936,28.882,4.382,61.05006105
927.135,29.052,4.552,61.05006105
927.336,29.153,4.653,61.05006105
927.536,29.289,4.789,61.05006105
927.936,29.526,5.026,61.05006105
928.136,29.695,5.195,61.05006105
928.335,29.797,5.297,61.05006105
928.536,29.932,5.432,61.05006105
928.935,30.203,5.703,61.05006105
929.135,30.339,5.839,61.05006105
929.336,30.474,5.974,61.05006105
929.735,30.746,6.246,61.05006105
929.936,30.847,6.347,61.05006105
930.136,30.983,6.483,61.05006105
930.335,31.118,6.618,61.05006105
930.736,31.356,6.856,61.05006105
930.935,31.491,6.991,61.05006105
931.136,31.627,7.127,61.05006105
931.336,31.762,7.262,61.05006105
931.736,31.999,7.499,61.05006105
931.936,32.101,7.601,61.05006105
932.135,32.237,7.737,61.05006105
932.335,32.372,7.872,61.05006105
932.736,32.61,8.11,61.05006105
932.935,32.711,8.211,61.05006105
933.136,32.881,8.381,61.05006105
933.535,33.084,8.584,61.05006105
933.736,33.22,8.72,61.05006105
933.936,33.356,8.856,61.05006105
934.135,33.491,8.991,61.05006105
934.536,33.695,9.195,61.05006105
934.735,33.83,9.33,61.05006105
934.936,33.932,9.432,61.05006105
935.335,34.17,9.67,61.05006105
935.535,34.305,9.805,61.05006105
935.736,34.407,9.907,61.05006105
935.936,34.543,10.043,61.05006105
936.336,34.746,10.246,61.05006105
936.536,34.882,10.382,61.05006105
936.735,35.018,10.518,61.05006105
936.936,35.119,10.619,61.05006105
937.335,35.323,10.823,61.05006105
937.536,35.459,10.959,61.05006105
937.736,35.561,11.061,61.05006105
938.136,35.798,11.298,61.05006105
938.336,35.9,11.4,61.05006105
938.535,36.036,11.536,61.05006105
938.735,36.137,11.637,61.05006105
939.136,36.375,11.875,61.05006105
939.335,36.477,11.977,61.05006105
939.536,36.613,12.113,61.05006105
939.935,36.816,12.316,61.05006105
940.136,36.918,12.418,61.05006105
940.336,37.02,12.52,61.05006105
940.535,37.156,12.656,61.05006105
940.936,37.36,12.86,61.05006105
941.135,37.461,12.961,61.05006105
941.336,37.563,13.063,61.05006105
941.536,37.665,13.165,61.05006105
941.935,37.903,13.403,61.05006105
942.136,38.005,13.505,61.05006105
942.336,38.14,13.64,61.05006105
942.736,38.31,13.81,61.05006105
942.936,38.412,13.912,61.05006105
943.135,38.514,14.014,61.05006105
943.336,38.65,14.15,61.05006105
943.735,38.854,14.354,61.05006105
943.936,38.955,14.455,61.05006105
944.136,39.057,14.557,61.05006105
944.335,39.193,14.693,61.05006105
944.736,39.363,14.863,61.05006105
944.935,39.465,14.965,61.05006105
945.135,39.567,15.067,61.05006105
945.336,39.669,15.169,61.05006105
