Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
1515.736,71.039,46.539,-61.05006105
1516.136,70.764,46.264,-61.05006105
1516.336,70.593,46.093,-61.05006105
1516.736,70.318,45.818,-61.05006105
1516.936,70.147,45.647,-61.05006105
1517.135,69.976,45.476,-61.05006105
1517.336,69.839,45.339,-61.05006105
1517.735,69.53,45.03,-61.05006105
1517.935,69.359,44.859,-61.05006105
1518.136,69.187,44.687,-61.05006105
1518.336,69.016,44.516,-61.05006105
1518.736,68.673,44.173,-61.05006105
1518.936,68.536,44.036,-61.05006105
1519.135,68.365,43.865,-61.05006105
1519.336,68.193,43.693,-61.05006105
1519.735,67.85,43.35,-61.05006105
1519.936,67.679,43.179,-61.05006105
1520.136,67.474,42.974,-61.05006105
1520.536,67.131,42.631,-61.05006105
1520.736,66.96,42.46,-61.05006105
1520.935,66.789,42.289,-61.05006105
1521.135,66.617,42.117,-61.05006105
1521.536,66.275,41.775,-61.05006105
1521.735,66.104,41.604,-61.05006105
1521.936,65.898,41.398,-61.05006105
1522.136,65.761,41.261,-61.05006105
1522.536,65.384,40.884,-61.05006105
1522.736,65.213,40.713,-61.05006105
1522.935,65.042,40.542,-61.05006105
1523.336,64.666,40.166,-61.05006105
1523.535,64.529,40.029,-61.05006105
1523.736,64.323,39.823,-61.05006105
1524.135,63.981,39.481,-61.05006105
1524.335,63.776,39.276,-61.05006105
1524.536,63.605,39.105,-61.05006105
1524.736,63.434,38.934,-61.05006105
1524.935,63.262,38.762,-61.05006105
1525.336,62.886,38.386,-61.05006105
1525.535,62.715,38.215,-61.05006105
1525.736,62.544,38.044,-61.05006105
1526.135,62.202,37.702,-61.05006105
1526.336,62.031,37.531,-61.05006105
1526.536,61.826,37.326,-61.05006105
1526.735,61.655,37.155,-61.05006105
1527.136,61.347,36.847,-61.05006105
1527.335,61.142,36.642,-61.05006105
1527.535,60.971,36.471,-61.05006105
1527.736,60.8,36.3,-61.05006105
1528.135,60.458,35.958,-61.05006105
1528.336,60.253,35.753,-61.05006105
1528.536,60.116,35.616,-61.05006105
1528.735,59.911,35.411,-61.05006105
