Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
0.868,23.063,-1.437,0
1.468,23.063,-1.437,0
1.668,23.063,-1.437,0
1.868,23.063,-1.437,0
2.068,23.063,-1.437,0
2.468,23.063,-1.437,0
2.668,23.063,-1.437,0
2.868,23.063,-1.437,0
3.068,23.063,-1.437,0
3.468,23.063,-1.437,0
3.668,23.063,-1.437,0
3.868,23.063,-1.437,0
4.268,23.063,-1.437,0
4.468,23.063,-1.437,0
4.668,23.063,-1.437,0
4.868,23.063,-1.437,0
5.268,23.063,-1.437,0
5.468,23.063,-1.437,0
5.668,23.063,-1.437,0
5.868,23.063,-1.437,0
6.268,23.063,-1.437,0
6.468,23.063,-1.437,0
6.668,23.063,-1.437,0
7.068,23.063,-1.437,0
7.268,23.063,-1.437,0
7.468,23.063,-1.437,0
7.668,23.063,-1.437,0
8.068,23.063,-1.437,0
8.268,23.063,-1.437,0
8.468,23.063,-1.437,0
8.868,23.063,-1.437,0
9.068,23.063,-1.437,0
9.268,23.063,-1.437,0
9.468,23.063,-1.437,0
9.868,23.063,-1.437,0
10.068,23.063,-1.437,0
10.268,23.063,-1.437,0
10.668,23.063,-1.437,0
10.868,23.063,-1.437,0
11.068,23.063,-1.437,0
11.268,23.063,-1.437,0
11.668,23.029,-1.471,0
11.868,23.063,-1.437,0
12.068,23.063,-1.437,0
12.268,23.029,-1.471,0
12.668,23.029,-1.471,0
12.868,23.063,-1.437,0
13.068,23.029,-1.471,0
13.268,23.063,-1.437,0
13.668,23.029,-1.471,0
13.868,23.063,-1.437,0
14.068,23.029,-1.471,0
14.268,23.029,-1.471,0
14.668,23.063,-1.437,0
14.868,23.063,-1.437,0
15.068,23.063,-1.437,0
15.268,23.029,-1.471,0
15.468,23.063,-1.437,0
15.868,23.029,-1.471,0
16.068,23.029,-1.471,0
16.268,23.063,-1.437,0
16.668,23.063,-1.437,0
16.868,23.063,-1.437,0
17.068,23.063,-1.437,0
17.268,23.063,-1.437,0
17.468,23.029,-1.471,0
17.868,23.063,-1.437,0
18.068,23.063,-1.437,0
18.268,23.063,-1.437,0
18.468,23.029,-1.471,0
18.868,23.063,-1.437,0
19.068,23.029,-1.471,0
19.268,23.063,-1.437,-55.55555556
19.668,23.029,-1.471,-55.55555556
19.868,23.063,-1.437,-55.55555556
20.068,23.029,-1.471,-55.55555556
20.468,23.029,-1.471,-55.55555556
20.668,22.995,-1.505,-55.55555556
20.868,22.961,-1.539,-55.55555556
21.068,22.961,-1.539,-55.55555556
21.468,22.894,-1.606,-55.55555556
21.668,22.86,-1.64,-55.55555556
21.868,22.826,-1.674,-55.55555556
22.268,22.725,-1.775,-55.55555556
22.468,22.691,-1.809,-55.55555556
22.668,22.657,-1.843,-55.55555556
22.868,22.589,-1.911,-55.55555556
23.268,22.488,-2.012,-55.55555556
23.468,22.454,-2.046,-55.55555556
23.668,22.387,-2.113,-55.55555556
24.068,22.285,-2.215,-55.55555556
24.268,22.217,-2.283,-55.55555556
24.468,22.15,-2.35,-55.55555556
24.668,22.082,-2.418,-55.55555556
25.068,21.947,-2.553,-55.55555556
25.268,21.88,-2.62,-55.55555556
25.468,21.812,-2.688,-55.55555556
25.868,21.711,-2.789,-55.55555556
26.068,21.643,-2.857,-55.55555556
26.268,21.542,-2.958,-55.55555556
26.468,21.474,-3.026,-55.55555556
26.868,21.339,-3.161,-55.55555556
27.068,21.305,-3.195,-55.55555556
27.268,21.204,-3.296,-55.55555556
27.668,21.069,-3.431,-55.55555556
27.868,21.001,-3.499,-55.55555556
28.068,20.934,-3.566,-55.55555556
28.268,20.866,-3.634,-55.55555556
28.668,20.697,-3.803,-55.55555556
28.868,20.629,-3.871,-55.55555556
29.068,20.562,-3.938,-55.55555556
29.268,20.494,-4.006,-55.55555556
29.668,20.359,-4.141,-55.55555556
29.868,20.258,-4.242,-55.55555556
30.068,20.19,-4.31,-55.55555556
30.468,20.055,-4.445,-55.55555556
30.668,19.988,-4.512,-55.55555556
30.868,19.92,-4.58,-55.55555556
31.268,19.785,-4.715,-55.55555556
31.468,19.684,-4.816,-55.55555556
31.668,19.616,-4.884,-55.55555556
31.868,19.549,-4.951,-55.55555556
32.268,19.414,-5.086,-55.55555556
32.468,19.312,-5.188,-55.55555556
32.668,19.245,-5.255,-55.55555556
32.868,19.177,-5.323,-55.55555556
33.268,19.042,-5.458,-55.55555556
33.468,18.941,-5.559,-55.55555556
33.668,18.873,-5.627,-55.55555556
33.868,18.84,-5.66,-55.55555556
34.268,18.704,-5.796,-55.55555556
34.468,18.603,-5.897,-55.55555556
34.668,18.536,-5.964,-55.55555556
34.868,18.468,-6.032,-55.55555556
35.268,18.333,-6.167,-55.55555556
35.468,18.265,-6.235,-55.55555556
35.668,18.198,-6.302,-55.55555556
35.868,18.131,-6.369,-55.55555556
36.268,17.962,-6.538,-55.55555556
36.468,17.894,-6.606,-55.55555556
36.668,17.827,-6.673,-55.55555556
37.068,17.692,-6.808,-55.55555556
37.268,17.624,-6.876,-55.55555556
37.468,17.557,-6.943,-55.55555556
37.668,17.489,-7.011,-55.55555556
38.068,17.354,-7.146,-55.55555556
38.268,17.253,-7.247,-55.55555556
38.468,17.186,-7.314,-55.55555556
38.868,17.05,-7.45,-55.55555556
39.068,16.983,-7.517,-55.55555556
39.268,16.916,-7.584,-55.55555556
39.468,16.848,-7.652,-55.55555556
39.868,16.713,-7.787,-55.55555556
40.068,16.645,-7.855,-55.55555556
40.268,16.578,-7.922,-55.55555556
40.668,16.443,-8.057,-55.55555556
40.868,16.376,-8.124,-55.55555556
41.068,16.308,-8.192,-55.55555556
41.268,16.241,-8.259,-55.55555556
41.668,16.106,-8.394,-55.55555556
41.868,16.038,-8.462,-55.55555556
42.068,15.971,-8.529,-55.55555556
42.468,15.836,-8.664,-55.55555556
42.668,15.768,-8.732,-55.55555556
42.868,15.701,-8.799,-55.55555556
43.068,15.667,-8.833,-55.55555556
43.468,15.498,-9.002,-55.55555556
43.668,15.431,-9.069,-55.55555556
43.868,15.364,-9.136,-55.55555556
44.268,15.262,-9.238,-55.55555556
44.468,15.195,-9.305,-55.55555556
44.668,15.128,-9.372,-55.55555556
44.868,15.06,-9.44,-55.55555556
45.268,14.925,-9.575,-55.55555556
45.468,14.858,-9.642,-55.55555556
45.668,14.79,-9.71,-55.55555556
45.868,14.757,-9.743,-55.55555556
46.268,14.588,-9.912,-55.55555556
46.468,14.554,-9.946,-55.55555556
46.668,14.487,-10.013,-55.55555556
47.068,14.352,-10.148,-55.55555556
47.268,14.285,-10.215,-55.55555556
47.468,14.217,-10.283,-55.55555556
47.868,14.116,-10.384,-55.55555556
48.068,14.048,-10.452,-55.55555556
48.268,14.015,-10.485,-55.55555556
48.468,13.914,-10.586,-55.55555556
48.868,13.779,-10.721,-55.55555556
49.068,13.745,-10.755,-55.55555556
49.268,13.678,-10.822,-55.55555556
49.468,13.61,-10.89,-55.55555556
49.868,13.509,-10.991,-55.55555556
50.068,13.408,-11.092,-55.55555556
50.268,13.408,-11.092,-55.55555556
50.468,13.307,-11.193,-55.55555556
50.868,13.206,-11.294,-55.55555556
51.068,13.138,-11.362,-55.55555556
51.268,13.104,-11.396,-55.55555556
51.668,12.97,-11.53,-55.55555556
51.868,12.902,-11.598,-55.55555556
52.068,12.835,-11.665,-55.55555556
52.468,12.734,-11.766,-55.55555556
52.668,12.666,-11.834,-55.55555556
52.868,12.633,-11.867,-55.55555556
53.068,12.565,-11.935,-55.55555556
53.468,12.464,-12.036,-55.55555556
53.668,12.397,-12.103,-55.55555556
53.868,12.329,-12.171,-55.55555556
54.068,12.262,-12.238,-55.55555556
54.468,12.161,-12.339,-55.55555556
54.668,12.093,-12.407,-55.55555556
54.868,12.06,-12.44,-55.55555556
55.268,11.959,-12.541,-55.55555556
55.468,11.891,-12.609,-55.55555556
55.668,11.824,-12.676,-55.55555556
55.868,11.756,-12.744,-55.55555556
56.268,11.655,-12.845,-55.55555556
56.468,11.588,-12.912,-55.55555556
56.668,11.554,-12.946,-55.55555556
57.068,11.42,-13.08,-55.55555556
57.268,11.386,-13.114,-55.55555556
57.468,11.352,-13.148,-55.55555556
57.868,11.251,-13.249,-55.55555556
58.068,11.184,-13.316,-55.55555556
58.268,11.116,-13.384,-55.55555556
58.468,11.083,-13.417,-55.55555556
58.868,10.982,-13.518,-55.55555556
59.068,10.914,-13.586,-55.55555556
59.268,10.847,-13.653,-55.55555556
59.468,10.813,-13.687,-55.55555556
59.868,10.712,-13.788,-55.55555556
60.068,10.645,-13.855,-55.55555556
60.268,10.577,-13.923,-55.55555556
60.468,10.544,-13.956,-55.55555556
60.868,10.443,-14.057,-55.55555556
61.068,10.409,-14.091,-55.55555556
61.268,10.342,-14.158,-55.55555556
61.668,10.241,-14.259,-55.55555556
61.868,10.207,-14.293,-55.55555556
62.068,10.14,-14.36,-55.55555556
62.268,10.106,-14.394,-55.55555556
62.668,9.971,-14.529,-55.55555556
62.868,9.938,-14.562,-55.55555556
63.068,9.87,-14.63,-55.55555556
63.468,9.769,-14.731,-55.55555556
63.668,9.736,-14.764,-55.55555556
63.868,9.668,-14.832,-55.55555556
64.268,9.601,-14.899,-55.55555556
64.468,9.534,-14.966,-55.55555556
64.668,9.466,-15.034,-55.55555556
64.868,9.433,-15.067,-55.55555556
65.268,9.298,-15.202,-55.55555556
65.468,9.298,-15.202,-55.55555556
65.668,9.23,-15.27,-55.55555556
66.068,9.129,-15.371,-55.55555556
66.268,9.096,-15.404,-55.55555556
66.468,9.062,-15.438,-55.55555556
66.668,8.995,-15.505,-55.55555556
67.068,8.894,-15.606,-55.55555556
67.268,8.826,-15.674,-55.55555556
67.468,8.826,-15.674,-55.55555556
67.668,8.759,-15.741,-55.55555556
68.068,8.658,-15.842,-55.55555556
68.268,8.624,-15.876,-55.55555556
68.468,8.591,-15.909,-55.55555556
68.668,8.523,-15.977,-55.55555556
69.068,8.422,-16.078,-55.55555556
69.268,8.389,-16.111,-55.55555556
69.468,8.355,-16.145,-55.55555556
