Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
0.868,2.94,-21.56,0
1.468,3.243,-21.257,0
1.668,3.31,-21.19,0
1.868,3.411,-21.089,0
2.268,3.579,-20.921,0
2.468,3.646,-20.854,0
2.668,3.747,-20.753,0
2.868,3.848,-20.652,0
3.268,4.016,-20.484,0
3.468,4.083,-20.417,0
3.668,4.184,-20.316,0
4.068,4.319,-20.181,0
4.268,4.386,-20.114,0
4.468,4.453,-20.047,0
4.668,4.554,-19.946,0
5.068,4.688,-19.812,0
5.268,4.756,-19.744,0
5.468,4.856,-19.644,0
5.668,4.924,-19.576,0
6.068,5.058,-19.442,0
6.268,5.125,-19.375,0
6.468,5.193,-19.307,0
6.868,5.327,-19.173,0
7.068,5.395,-19.105,0
7.268,5.462,-19.038,0
7.468,5.529,-18.971,0
7.868,5.664,-18.836,0
8.068,5.731,-18.769,0
8.268,5.798,-18.702,0
8.468,5.865,-18.635,0
8.868,5.966,-18.534,0
9.068,6.033,-18.467,0
9.268,6.101,-18.399,0
9.668,6.235,-18.265,0
9.868,6.303,-18.197,0
10.068,6.37,-18.13,0
10.268,6.404,-18.096,0
10.668,6.538,-17.962,0
10.868,6.605,-17.895,0
11.068,6.673,-17.827,0
11.468,6.774,-17.726,0
11.668,6.841,-17.659,0
11.868,6.908,-17.592,0
12.068,6.942,-17.558,0
12.468,7.076,-17.424,0
12.668,7.144,-17.356,0
12.868,7.211,-17.289,0
13.068,7.211,-17.289,0
13.468,7.379,-17.121,0
13.668,7.413,-17.087,0
13.868,7.48,-17.02,0
14.268,7.581,-16.919,0
14.468,7.615,-16.885,0
14.668,7.682,-16.818,0
15.068,7.783,-16.717,0
15.268,7.85,-16.65,0
15.468,7.884,-16.616,0
15.668,7.951,-16.549,0
16.068,8.052,-16.448,0
16.268,8.086,-16.414,0
16.468,8.153,-16.347,0
16.668,8.22,-16.28,0
17.068,8.321,-16.179,0
17.268,8.355,-16.145,0
17.468,8.422,28.422,0
17.868,8.523,28.523,-100
18.068,8.591,28.591,-100
18.268,8.624,28.624,-100
18.468,8.658,28.658,-100
18.868,8.725,28.725,-100
19.068,8.759,28.759,-100
19.268,8.759,28.759,-100
19.668,8.826,28.826,-100
19.868,8.793,13.793,-100
20.068,8.826,13.826,-100
20.268,8.793,13.793,-100
20.668,8.793,13.793,-100
20.868,8.759,13.759,-100
21.068,8.725,13.725,-100
21.468,8.658,13.658,-100
21.668,8.658,13.658,-100
21.868,8.591,13.591,-100
22.068,8.591,13.591,-100
22.268,8.523,13.523,-100
22.668,8.456,13.456,-100
22.868,8.389,13.389,-100
23.068,8.355,13.355,-100
23.468,8.288,13.288,-100
23.668,8.22,13.22,-100
23.868,8.187,13.187,-100
24.268,8.086,13.086,-100
24.468,8.019,13.019,-100
24.668,7.951,12.951,-100
24.868,7.918,12.918,-100
25.268,7.817,12.817,-100
25.468,7.749,12.749,-100
25.668,7.648,12.648,-100
26.068,7.547,12.547,-100
26.268,7.48,12.48,-100
26.468,7.447,12.447,-100
26.668,7.379,12.379,-100
27.068,7.245,12.245,-100
27.268,7.177,12.177,-100
27.468,7.11,12.11,-100
27.868,7.009,12.009,-100
28.068,6.942,11.942,-100
28.268,6.874,11.874,-100
28.468,6.807,11.807,-100
28.868,6.673,11.673,-100
29.068,6.639,11.639,-100
29.268,6.538,11.538,-100
29.468,6.471,11.471,-100
29.868,6.336,11.336,-100
30.068,6.269,11.269,-100
30.268,6.235,11.235,-100
30.468,6.168,11.168,-100
30.868,6.033,11.033,-100
31.068,5.966,10.966,-100
31.268,5.933,10.933,-100
31.668,5.765,10.765,-100
31.868,5.697,10.697,-100
32.068,5.63,10.63,-100
32.268,5.563,10.563,-100
32.668,5.462,10.462,-100
32.868,5.395,10.395,-100
33.068,5.294,10.294,-100
33.268,5.26,10.26,-100
33.668,5.125,10.125,-100
33.868,5.058,10.058,-100
34.068,4.991,9.991,-100
