Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
0.868,48.718,24.218,0
1.068,48.786,24.286,0
1.468,48.855,24.355,0
1.668,48.889,24.389,0
1.868,48.923,24.423,0
2.068,48.957,24.457,0
2.468,48.957,24.457,0
2.668,48.991,24.491,-100
2.868,48.957,24.457,-100
3.068,48.957,24.457,-100
3.468,48.923,24.423,-100
3.668,48.923,24.423,-100
3.868,48.889,24.389,-100
4.068,48.855,24.355,-100
4.468,48.753,24.253,-100
4.668,48.684,24.184,-100
4.868,48.616,24.116,-100
5.068,48.548,24.048,-100
5.468,48.412,23.912,-100
5.668,48.31,23.81,-100
5.868,48.241,23.741,-100
6.068,48.105,23.605,-100
6.468,47.901,23.401,-100
6.668,47.799,23.299,-100
6.868,47.697,23.197,-100
7.068,47.594,23.094,-100
7.468,47.322,22.822,-100
7.668,47.22,22.72,-100
7.868,47.084,22.584,-100
8.068,46.981,22.481,-100
8.468,46.709,22.209,-100
8.668,46.573,22.073,-100
8.868,46.437,21.937,-100
9.068,46.3,21.8,-100
9.468,46.028,21.528,-100
9.668,45.892,21.392,-100
9.868,45.756,21.256,-100
10.068,45.62,21.12,-100
10.468,45.313,20.813,-100
10.668,45.177,5.177,-100
10.868,45.041,5.041,-100
11.068,44.871,4.871,-100
11.468,44.599,4.599,-100
11.668,44.463,4.463,-100
11.868,44.293,4.293,-100
12.068,44.157,4.157,-100
12.468,43.85,3.85,-100
12.668,43.714,3.714,-100
12.868,43.578,3.578,-100
13.068,43.374,3.374,-100
13.468,43.068,3.068,-100
13.668,42.932,2.932,-100
13.868,42.796,2.796,-100
14.068,42.626,2.626,-100
14.468,42.32,2.32,-100
14.668,42.184,2.184,-100
14.868,42.048,2.048,-100
15.068,41.912,1.912,-100
15.468,41.572,1.572,-100
15.668,41.402,1.402,-100
15.868,41.266,1.266,-100
16.068,41.13,1.13,-100
16.468,40.824,0.824,-100
16.668,40.688,0.688,-100
16.868,40.518,0.518,-100
17.068,40.348,0.348,-100
17.468,40.043,0.043,-100
17.668,39.907,-0.093,-100
17.868,39.771,-0.229,-100
18.068,39.601,-0.399,-100
18.268,39.465,-0.535,-100
18.668,39.159,-0.841,-100
18.868,38.99,-1.01,-100
19.068,38.854,-1.146,-100
19.468,38.548,-1.452,-100
19.668,38.412,-1.588,-100
19.868,38.242,-1.758,-100
20.068,38.106,-1.894,-100
20.468,37.801,-2.199,-100
20.668,37.665,-2.335,-100
20.868,37.495,-2.505,100
21.068,37.36,-2.64,100
21.468,37.088,-2.912,100
21.668,36.952,-3.048,100
21.868,36.85,-3.15,100
22.068,36.748,-3.252,100
22.468,36.613,-3.387,100
22.668,36.579,-3.421,100
22.868,36.545,-3.455,100
23.068,36.545,-3.455,100
23.468,36.545,-3.455,100
23.668,36.579,-3.421,100
23.868,36.647,-3.353,100
24.068,36.681,-3.319,100
24.268,36.714,-3.286,100
24.668,36.884,-3.116,100
24.868,36.952,-3.048,100
25.068,37.054,-2.946,100
25.268,37.19,-2.81,100
25.668,37.393,-2.607,100
25.868,37.529,-2.471,100
26.068,37.631,-2.369,100
26.268,37.767,-2.233,100
26.668,38.038,-1.962,100
26.868,38.174,-1.826,100
27.068,38.31,-1.69,100
27.268,38.446,-1.554,100
27.668,38.752,-1.248,100
27.868,38.921,-1.079,100
28.068,39.057,-0.943,100
28.268,39.261,-0.739,100
28.668,39.567,-0.433,100
28.868,39.737,-0.263,100
29.068,39.907,-0.093,100
29.268,40.077,0.077,100
29.668,40.416,0.416,100
29.868,40.62,0.62,100
30.068,40.79,0.79,100
30.268,40.96,0.96,100
30.668,41.334,1.334,100
30.868,41.504,1.504,100
31.068,41.674,1.674,100
31.268,41.844,1.844,100
31.668,42.252,2.252,100
31.868,42.422,2.422,-100
32.068,42.592,2.592,-100
32.268,42.796,2.796,-100
32.668,43.102,3.102,-100
32.868,43.272,3.272,-100
33.068,43.408,3.408,-100
33.268,43.51,3.51,-100
33.668,43.714,3.714,-100
33.868,43.748,3.748,-100
34.068,43.816,3.816,-100
34.268,43.884,3.884,-100
34.668,43.919,3.919,-100
34.868,43.919,3.919,-100
35.068,43.919,3.919,-100
35.268,43.952,3.952,-100
35.668,43.884,3.884,-100
35.868,43.85,3.85,-100
36.068,43.816,3.816,-100
36.268,43.782,3.782,-100
36.668,43.646,3.646,-100
36.868,43.578,3.578,-100
37.068,43.51,3.51,-100
37.268,43.442,3.442,-100
37.668,43.272,3.272,-100
37.868,43.204,3.204,-100
38.068,43.102,3.102,-100
38.268,43,3,-100
38.668,42.796,2.796,-100
38.868,42.694,2.694,-100
39.068,42.592,2.592,-100
39.268,42.49,2.49,-100
39.668,42.252,2.252,-100
39.868,42.15,2.15,-100
40.068,42.048,2.048,-100
40.268,41.946,1.946,-100
40.668,41.674,1.674,-100
40.868,41.572,1.572,-100
41.068,41.402,1.402,-100
41.268,41.3,1.3,-100
41.668,41.028,1.028,-100
41.868,40.926,0.926,-100
42.068,40.79,0.79,-100
42.268,40.654,0.654,-100
42.668,40.416,0.416,-100
42.868,40.246,0.246,-100
43.068,40.145,0.145,-100
43.268,40.009,0.009,-100
43.668,39.737,-0.263,-100
43.868,39.567,-0.433,-100
44.068,39.431,-0.569,-100
44.268,39.329,-0.671,-100
44.668,39.023,-0.977,-100
44.868,38.888,-1.112,-100
45.068,38.786,-1.214,-100
45.268,38.616,-1.384,-100
45.668,38.344,-1.656,-100
45.868,38.208,-1.792,-100
46.068,38.073,-1.927,-100
46.468,37.801,-2.199,-100
46.668,37.665,-2.335,-100
46.868,37.495,-2.505,100
47.068,37.393,-2.607,100
47.468,37.122,-2.878,100
47.668,36.986,-3.014,100
47.868,36.918,-3.082,100
48.068,36.816,-3.184,100
48.468,36.681,-3.319,100
48.668,36.647,-3.353,100
48.868,36.647,-3.353,100
49.068,36.579,-3.421,100
49.468,36.647,-3.353,100
49.668,36.681,-3.319,100
49.868,36.748,-3.252,100
50.068,36.782,-3.218,100
50.468,36.918,-3.082,100
50.668,37.02,-2.98,100
50.868,37.088,-2.912,100
51.068,37.19,-2.81,100
51.468,37.427,-2.573,100
51.668,37.529,-2.471,100
51.868,37.665,-2.335,100
52.068,37.801,-2.199,100
52.468,38.073,-1.927,100
52.668,38.208,-1.792,100
52.868,38.344,-1.656,100
53.068,38.48,-1.52,100
53.468,38.786,-1.214,100
53.668,38.955,-1.045,100
53.868,39.125,-0.875,100
54.068,39.261,-0.739,100
54.468,39.601,-0.399,100
54.668,39.771,-0.229,100
54.868,39.941,-0.059,100
55.068,40.111,0.111,100
55.468,40.484,0.484,100
55.668,40.654,0.654,100
55.868,40.824,0.824,100
56.068,40.994,0.994,100
56.468,41.368,1.368,100
56.668,41.572,1.572,100
56.868,41.742,1.742,100
57.068,41.912,1.912,100
57.468,42.286,2.286,100
57.668,42.49,2.49,-100
57.868,42.626,2.626,-100
58.068,42.83,2.83,-100
58.468,43.17,3.17,-100
58.668,43.306,3.306,-100
58.868,43.476,3.476,-100
59.068,43.544,3.544,-100
59.468,43.748,3.748,-100
59.668,43.85,3.85,-100
59.868,43.919,3.919,-100
60.068,43.952,3.952,-100
60.468,43.986,3.986,-100
60.668,44.021,4.021,-100
60.868,43.986,3.986,-100
61.068,44.021,4.021,-100
61.468,43.952,3.952,-100
61.668,43.952,3.952,-100
61.868,43.919,3.919,-100
62.068,43.85,3.85,-100
62.468,43.748,3.748,-100
62.668,43.68,3.68,-100
62.868,43.612,3.612,-100
63.068,43.544,3.544,-100
63.468,43.374,3.374,-100
63.668,43.306,3.306,-100
63.868,43.204,3.204,-100
64.068,43.102,3.102,-100
64.468,42.932,2.932,-100
64.668,42.83,2.83,-100
64.868,42.728,2.728,-100
65.068,42.592,2.592,-100
65.468,42.388,2.388,-100
65.668,42.252,2.252,-100
65.868,42.15,2.15,-100
66.068,42.048,2.048,-100
66.468,41.776,1.776,-100
66.668,41.674,1.674,-100
66.868,41.572,1.572,-100
67.068,41.436,1.436,-100
67.468,41.198,1.198,-100
67.668,41.062,1.062,-100
67.868,40.926,0.926,-100
68.068,40.79,0.79,-100
68.468,40.552,0.552,-100
68.668,40.416,0.416,-100
68.868,40.281,0.281,-100
69.068,40.145,0.145,-100
69.468,39.873,-0.127,-100
69.668,39.737,-0.263,-100
69.868,39.601,-0.399,-100
70.068,39.465,-0.535,-100
70.468,39.193,-0.807,-100
70.668,39.057,-0.943,-100
70.868,38.921,-1.079,-100
71.068,38.786,-1.214,-100
71.468,38.514,-1.486,-100
71.668,38.378,-1.622,-100
71.868,38.242,-1.758,-100
72.068,38.106,-1.894,-100
72.468,37.835,-2.165,-100
72.668,37.665,-2.335,-100
72.868,37.529,-2.471,100
73.068,37.393,-2.607,100
73.468,37.122,-2.878,100
73.668,37.02,-2.98,100
73.868,36.952,-3.048,100
74.068,36.85,-3.15,100
74.468,36.748,-3.252,100
74.668,36.714,-3.286,100
74.868,36.681,-3.319,100
75.068,36.681,-3.319,100
75.468,36.714,-3.286,100
75.668,36.748,-3.252,100
75.868,36.816,-3.184,100
76.068,36.85,-3.15,100
76.468,36.986,-3.014,100
76.668,37.054,-2.946,100
76.868,37.19,-2.81,100
77.068,37.258,-2.742,100
77.468,37.461,-2.539,100
77.668,37.597,-2.403,100
77.868,37.733,-2.267,100
78.068,37.869,-2.131,100
78.468,38.14,-1.86,100
78.668,38.276,-1.724,100
78.868,38.412,-1.588,100
79.068,38.582,-1.418,100
79.468,38.854,-1.146,100
79.668,39.057,-0.943,100
79.868,39.193,-0.807,100
80.068,39.363,-0.637,100
80.268,39.533,-0.467,100
80.668,39.873,-0.127,100
80.868,40.009,0.009,100
81.068,40.246,0.246,100
81.268,40.383,0.383,100
81.668,40.756,0.756,100
81.868,40.926,0.926,100
82.068,41.096,1.096,100
82.268,41.266,1.266,100
82.668,41.64,1.64,100
82.868,41.81,1.81,100
83.068,42.014,2.014,100
83.468,42.388,2.388,100
83.668,42.558,2.558,-100
83.868,42.762,2.762,-100
84.068,42.966,2.966,-100
84.468,43.306,3.306,-100
84.668,43.442,3.442,-100
84.868,43.578,3.578,-100
85.068,43.68,3.68,-100
85.268,43.816,3.816,-100
85.668,43.986,3.986,-100
85.868,44.021,4.021,-100
86.068,44.088,4.088,-100
86.268,44.123,4.123,-100
86.668,44.157,4.157,-100
86.868,44.19,4.19,-100
87.068,44.19,4.19,-100
87.268,44.157,4.157,-100
87.668,44.088,4.088,-100
87.868,44.054,4.054,-100
88.068,43.986,3.986,-100
88.268,43.952,3.952,-100
88.668,43.85,3.85,-100
88.868,43.782,3.782,-100
89.068,43.714,3.714,-100
89.268,43.612,3.612,-100
89.668,43.476,3.476,-100
89.868,43.374,3.374,-100
90.068,43.306,3.306,-100
90.268,43.204,3.204,-100
90.668,43,3,-100
90.868,42.898,2.898,-100
91.068,42.762,2.762,-100
91.268,42.66,2.66,-100
91.668,42.456,2.456,-100
91.868,42.32,2.32,-100
92.068,42.184,2.184,-100
92.468,41.98,1.98,-100
92.668,41.844,1.844,-100
92.868,41.742,1.742,-100
93.068,41.64,1.64,-100
93.468,41.368,1.368,-100
93.668,41.232,1.232,-100
93.868,41.096,1.096,-100
94.068,40.96,0.96,-100
94.468,40.722,0.722,-100
94.668,40.586,0.586,-100
94.868,40.45,0.45,-100
95.068,40.314,0.314,-100
95.468,40.077,0.077,-100
95.668,39.941,-0.059,-100
95.868,39.805,-0.195,-100
96.068,39.669,-0.331,-100
96.468,39.397,-0.603,-100
96.668,39.261,-0.739,-100
96.868,39.125,-0.875,-100
97.068,38.99,-1.01,-100
97.468,38.718,-1.282,-100
97.668,38.582,-1.418,-100
97.868,38.412,-1.588,-100
98.068,38.31,-1.69,-100
98.468,38.038,-1.962,-100
98.668,37.903,-2.097,-100
98.868,37.733,-2.267,-100
99.068,37.631,-2.369,-100
99.468,37.325,-2.675,100
99.668,37.19,-2.81,100
99.868,37.088,-2.912,100
100.068,36.952,-3.048,100
100.468,36.782,-3.218,100
100.668,36.714,-3.286,100
100.868,36.681,-3.319,100
101.068,36.613,-3.387,100
101.468,36.613,-3.387,100
101.668,36.647,-3.353,100
101.868,36.647,-3.353,100
102.068,36.681,-3.319,100
102.468,36.782,-3.218,100
102.668,36.85,-3.15,100
102.868,36.918,-3.082,100
103.268,37.122,-2.878,100
103.468,37.224,-2.776,100
103.668,37.325,-2.675,100
103.868,37.427,-2.573,100
104.268,37.699,-2.301,100
104.468,37.801,-2.199,100
104.668,37.971,-2.029,100
