Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
1186.668,29.898,-0.10200000000000031,8.44932844932845
1186.868,29.898,-0.10200000000000031,8.44932844932845
1187.268,29.898,-0.10200000000000031,8.44932844932845
1187.468,29.898,-0.10200000000000031,8.44932844932845
1187.668,29.898,-0.10200000000000031,8.44932844932845
1187.868,29.898,-0.10200000000000031,8.44932844932845
1188.268,29.898,-0.10200000000000031,8.44932844932845
1188.468,29.898,-0.10200000000000031,8.44932844932845
1188.668,29.865,-0.13500000000000156,11.282051282051283
1188.868,29.898,-0.10200000000000031,8.44932844932845
1189.268,29.865,-0.13500000000000156,11.282051282051283
1189.468,29.898,-0.10200000000000031,8.44932844932845
1189.668,29.898,-0.10200000000000031,8.44932844932845
1189.868,29.865,-0.13500000000000156,11.282051282051283
1190.268,29.865,-0.13500000000000156,11.282051282051283
1190.468,29.865,-0.13500000000000156,11.282051282051283
1190.668,29.865,-0.13500000000000156,11.282051282051283
1190.868,29.898,-0.10200000000000031,8.44932844932845
1191.268,29.898,-0.10200000000000031,8.44932844932845
1191.468,29.898,-0.10200000000000031,8.44932844932845
1191.668,29.865,-0.13500000000000156,11.282051282051283
1191.868,29.865,-0.13500000000000156,11.282051282051283
1192.268,29.865,-0.13500000000000156,11.282051282051283
1192.468,29.865,-0.13500000000000156,11.282051282051283
1192.668,29.865,-0.13500000000000156,11.282051282051283
1192.868,29.865,-0.13500000000000156,11.282051282051283
1193.068,29.865,-0.13500000000000156,11.282051282051283
1193.468,29.865,-0.13500000000000156,11.282051282051283
1193.668,29.865,-0.13500000000000156,11.282051282051283
1193.868,29.898,-0.10200000000000031,8.44932844932845
1194.268,29.865,-0.13500000000000156,11.282051282051283
1194.468,29.865,-0.13500000000000156,11.282051282051283
1194.668,29.865,-0.13500000000000156,11.282051282051283
1194.868,29.898,-0.10200000000000031,8.44932844932845
1195.268,29.898,-0.10200000000000031,8.44932844932845
1195.468,29.898,-0.10200000000000031,8.44932844932845
1195.668,29.865,-0.13500000000000156,11.282051282051283
1196.068,29.898,-0.10200000000000031,8.44932844932845
1196.268,29.898,-0.10200000000000031,8.44932844932845
1196.468,29.898,-0.10200000000000031,8.44932844932845
1196.668,29.898,-0.10200000000000031,8.44932844932845
1197.068,29.865,-0.13500000000000156,11.282051282051283
1197.268,29.898,-0.10200000000000031,8.44932844932845
1197.468,29.898,-0.10200000000000031,8.44932844932845
1197.868,29.898,-0.10200000000000031,8.44932844932845
1198.068,29.898,-0.10200000000000031,8.44932844932845
1198.268,29.898,-0.10200000000000031,8.44932844932845
1198.468,29.898,-0.10200000000000031,8.44932844932845
1198.868,29.898,-0.10200000000000031,8.44932844932845
1199.068,29.865,-0.13500000000000156,11.282051282051283
1199.268,29.898,-0.10200000000000031,8.44932844932845
1199.668,29.898,-0.10200000000000031,8.44932844932845
1199.868,29.898,-10.102,8.44932844932845
1200.068,29.898,-10.102,100.0
1200.268,29.898,-10.102,100.0
1200.668,29.898,-10.102,100.0
1200.868,29.898,-10.102,100.0
1201.068,29.932,-10.068000000000001,100.0
1201.268,29.932,-10.068000000000001,100.0
1201.668,30.068,-9.931999999999999,100.0
1201.868,30.102,-9.898,100.0
1202.068,30.203,-9.797,100.0
1202.268,30.305,-9.695,100.0
1202.668,30.441,-9.559000000000001,100.0
1202.868,30.576,-9.424,100.0
1203.068,30.678,-9.322,100.0
1203.268,30.813,-9.187000000000001,100.0
1203.668,31.051,-8.949000000000002,100.0
1203.868,31.186,-8.814,100.0
1204.068,31.356,-8.643999999999998,100.0
1204.268,31.457,-8.543,100.0
