Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
2416.668,-14.223,-4.223,100
2416.868,-14.256,-4.256,100
2417.268,-14.223,-4.223,100
2417.468,-14.189,-4.189,100
2417.668,-14.156,-4.156,100
2417.868,-14.089,-4.089,100
2418.268,-13.955,-3.955,100
2418.468,-13.821,-3.821,100
2418.668,-13.721,-3.721,100
2418.868,-13.587,-3.587,100
2419.268,-13.286,-3.286,100
2419.468,-13.153,-3.153,100
2419.668,-12.952,-2.952,100
2419.868,-12.751,-2.751,100
2420.268,-12.35,-2.35,97.8998779
2420.468,-12.149,-2.149,89.54822955
2420.668,-11.948,-1.948,81.17216117
2420.868,-11.714,-1.714,71.42857143
2421.268,-11.246,-1.246,51.89255189
2421.468,-11.045,-1.045,43.54090354
2421.668,-10.777,-0.777,32.38095238
2421.868,-10.543,-0.543,22.61294261
2422.068,-10.275,-0.275,11.45299145
2422.468,-9.807,0.193,-8.058608059
2422.668,-9.572,0.428,-17.8021978
2422.868,-9.338,0.662,-27.57020757
2423.268,-8.903,1.097,-45.71428571
2423.468,-8.668,1.332,-55.48229548
2423.668,-8.467,1.533,-63.85836386
2423.868,-8.3,1.7,-70.84249084
2424.068,-8.099,1.901,-79.19413919
2424.468,-7.764,2.236,-93.16239316
2424.668,-7.63,2.37,-98.75457875
2424.868,-7.462,2.538,-100
2425.068,-7.328,2.672,-100
2425.468,-7.094,2.906,-100
2425.668,-6.993,3.007,-100
2425.868,-6.893,3.107,-100
2426.068,-6.792,3.208,-100
2426.468,-6.625,3.375,-100
2426.668,-6.558,3.442,-100
2426.868,-6.524,3.476,-100
2427.268,-6.39,3.61,-100
2427.468,-6.323,3.677,-100
2427.668,-6.29,3.71,-100
2427.868,-6.256,3.744,-100
2428.068,-6.223,3.777,-100
2428.468,-6.155,3.845,-100
2428.668,-6.122,3.878,-100
2428.868,-6.088,3.912,-100
2429.068,-6.088,3.912,-100
2429.468,-6.055,3.945,-100
2429.668,-6.021,3.979,-100
2429.868,-6.021,3.979,-100
2430.068,-5.988,4.012,-100
2430.468,-5.988,4.012,-100
2430.668,-5.954,4.046,-100
2430.868,-5.988,4.012,-100
2431.068,-5.988,4.012,-100
2431.468,-5.988,4.012,-100
2431.668,-5.988,4.012,-100
2431.868,-5.988,4.012,-100
2432.068,-5.988,4.012,-100
2432.468,-5.988,4.012,-100
2432.668,-5.988,4.012,-100
2432.868,-5.988,4.012,-100
2433.068,-6.021,3.979,-100
2433.468,-6.055,3.945,-100
2433.668,-6.055,3.945,-100
2433.868,-6.055,3.945,-100
2434.068,-6.055,3.945,-100
2434.468,-6.088,3.912,-100
2434.668,-6.088,3.912,-100
2434.868,-6.122,3.878,-100
2435.068,-6.155,3.845,-100
2435.468,-6.155,3.845,-100
2435.668,-6.189,3.811,-100
2435.868,-6.223,3.777,-100
2436.068,-6.223,3.777,-100
2436.468,-6.256,3.744,-100
2436.668,-6.256,3.744,-100
2436.868,-6.29,3.71,-100
2437.068,-6.323,3.677,-100
2437.468,-6.323,3.677,-100
2437.668,-6.323,3.677,-100
2437.868,-6.39,3.61,-100
2438.068,-6.39,3.61,-100
2438.468,-6.424,3.576,-100
2438.668,-6.424,3.576,-100
2438.868,-6.457,3.543,-100
2439.068,-6.491,3.509,-100
2439.468,-6.524,3.476,-100
2439.668,-6.558,3.442,-100
2439.868,-6.591,3.409,-100
2440.068,-6.591,3.409,-100
2440.468,-6.625,3.375,-100
2440.668,-6.625,3.375,-100
2440.868,-6.692,3.308,-100
2441.068,-6.692,3.308,-100
2441.468,-6.725,3.275,-100
2441.668,-6.759,3.241,-100
2441.868,-6.759,3.241,-100
2442.068,-6.792,3.208,-100
