
Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
573.868,-10.007,-0.006999999999999673,-70.7936507936508
574.068,-10.007,-0.006999999999999673,-70.7936507936508
574.468,-10.007,-0.006999999999999673,-70.76923076923077
574.668,-10.007,-0.006999999999999673,-70.76923076923077
574.868,-10.007,-0.006999999999999673,-70.74481074481075
575.268,-10.007,-0.006999999999999673,-70.74481074481075
575.468,-10.007,-0.006999999999999673,-70.72039072039072
575.668,-10.007,-0.006999999999999673,-70.72039072039072
575.868,-10.007,-0.006999999999999673,-70.72039072039072
576.268,-10.007,-0.006999999999999673,-70.6959706959707
576.468,-10.007,-0.006999999999999673,-70.6959706959707
576.668,-10.007,-0.006999999999999673,-70.67155067155068
577.068,-10.007,-0.006999999999999673,-70.67155067155068
577.268,-10.007,-0.006999999999999673,-70.64713064713065
577.468,-10.041,-0.04100000000000037,-67.81440781440782
577.668,-10.007,-0.006999999999999673,-70.5982905982906
578.068,-10.007,-0.006999999999999673,-70.57387057387058
578.268,-10.007,-0.006999999999999673,-70.57387057387058
578.468,-10.007,-0.006999999999999673,-70.57387057387058
578.868,-10.007,-0.006999999999999673,-70.54945054945055
579.068,-10.007,-0.006999999999999673,-70.54945054945055
579.268,-10.007,-0.006999999999999673,-70.52503052503053
579.468,-10.007,-0.006999999999999673,-70.52503052503053
579.868,-10.007,-0.006999999999999673,-70.5006105006105
580.068,-10.007,-0.006999999999999673,-70.5006105006105
580.268,-10.007,-0.006999999999999673,-70.5006105006105
580.468,-10.007,-0.006999999999999673,-70.47619047619048
580.868,-10.007,-0.006999999999999673,-70.47619047619048
581.068,-10.007,-0.006999999999999673,-70.45177045177046
581.268,-10.007,-0.006999999999999673,-70.45177045177046
581.468,-10.007,-0.006999999999999673,-70.45177045177046
581.868,-10.007,-0.006999999999999673,-70.42735042735043
582.068,-10.007,-0.006999999999999673,-70.42735042735043
582.268,-9.974,0.0259999999999998,-73.23565323565323
582.668,-10.007,-0.006999999999999673,-70.42735042735043
582.868,-10.007,-0.006999999999999673,-70.42735042735043
583.068,-10.007,-0.006999999999999673,-70.42735042735043
583.268,-10.007,-0.006999999999999673,-70.40293040293041
583.668,-10.007,-0.006999999999999673,-70.40293040293041
583.868,-10.007,-0.006999999999999673,-70.37851037851038
584.068,-10.007,-0.006999999999999673,-70.37851037851038
584.268,-10.007,-0.006999999999999673,-70.37851037851038
584.668,-10.007,-0.006999999999999673,-70.35409035409036
584.868,-10.007,-0.006999999999999673,-70.35409035409036
585.068,-10.007,-0.006999999999999673,-70.32967032967034
585.268,-10.007,-0.006999999999999673,-70.32967032967034
585.668,-10.007,-0.006999999999999673,-70.30525030525031
585.868,-10.007,-0.006999999999999673,-70.30525030525031
586.068,-9.974,0.0259999999999998,-73.11355311355311
586.468,-10.007,-0.006999999999999673,-70.30525030525031
586.668,-10.007,-0.006999999999999673,-70.30525030525031
586.868,-9.974,0.0259999999999998,-73.11355311355311
587.068,-9.974,0.0259999999999998,-73.16239316239316
587.468,-10.007,-0.006999999999999673,-70.35409035409036
587.668,-10.007,-0.006999999999999673,-70.32967032967034
587.868,-9.974,0.0259999999999998,-73.16239316239316
588.268,-9.974,0.0259999999999998,-73.18681318681318
588.468,-10.007,-0.006999999999999673,-70.37851037851038
588.668,-10.007,-0.006999999999999673,-70.37851037851038
588.868,-9.974,0.0259999999999998,-73.18681318681318
589.268,-10.007,-0.006999999999999673,-70.37851037851038
589.468,-10.007,-0.006999999999999673,-70.37851037851038
589.668,-10.007,-0.006999999999999673,-70.37851037851038
589.868,-10.007,-0.006999999999999673,-70.35409035409036
590.268,-10.007,-0.006999999999999673,-70.35409035409036
590.468,-10.007,-0.006999999999999673,-70.32967032967034
590.668,-10.007,-0.006999999999999673,-70.32967032967034
591.068,-9.974,0.0259999999999998,-73.13797313797313
591.268,-10.007,-0.006999999999999673,-70.32967032967034
591.468,-10.007,-0.006999999999999673,-70.32967032967034
591.668,-10.007,-0.006999999999999673,-70.32967032967034
592.068,-10.007,-0.006999999999999673,-70.30525030525031
592.268,-9.974,0.0259999999999998,-73.11355311355311
592.468,-10.007,-0.006999999999999673,-70.32967032967034
592.868,-10.007,-0.006999999999999673,-70.35409035409036
593.068,-10.007,-0.006999999999999673,-70.32967032967034
593.268,-10.007,-0.006999999999999673,-70.32967032967034
593.468,-10.007,-0.006999999999999673,-70.32967032967034
593.868,-9.974,0.0259999999999998,-73.16239316239316
594.068,-10.007,-0.006999999999999673,-70.37851037851038
594.268,-10.007,-0.006999999999999673,-70.35409035409036
594.468,-9.974,0.0259999999999998,-73.18681318681318
594.868,-10.007,-0.006999999999999673,-70.40293040293041
595.068,-9.974,0.0259999999999998,-73.23565323565323
595.268,-9.974,0.0259999999999998,-73.26007326007326
595.668,-10.007,-0.006999999999999673,-70.5006105006105
595.868,-10.007,-0.006999999999999673,-70.47619047619048
596.068,-10.007,-0.006999999999999673,-70.47619047619048
596.268,-9.974,0.0259999999999998,-73.28449328449328
596.668,-10.007,-0.006999999999999673,-70.52503052503053
596.868,-10.007,-0.006999999999999673,-70.52503052503053
597.068,-10.007,-0.006999999999999673,-70.5006105006105
597.268,-10.007,-0.006999999999999673,-70.5006105006105
597.668,-10.007,-10.007,100.0
597.868,-10.007,-10.007,100.0
598.068,-10.007,-10.007,100.0
598.268,-9.974,-9.974,100.0
598.668,-9.94,-9.94,100.0
598.868,-9.907,-9.907,100.0
599.068,-9.874,-9.874,100.0
599.268,-9.807,-9.807,100.0
599.668,-9.606,-9.606,100.0
599.868,-9.505,-9.505,100.0
600.068,-9.371,-9.371,100.0
600.268,-9.237,-9.237,100.0
600.668,-8.936,-8.936,100.0
600.868,-8.769,-8.769,100.0
