Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
1636.268,40.111,-9.889,100
1636.468,40.179,-9.821,100
1636.868,40.246,-9.754,100
1637.068,40.348,-9.652,100
1637.268,40.416,-9.584,100
1637.468,40.518,-9.482,100
1637.868,40.688,-9.312,100
1638.068,40.79,-9.21,100
1638.268,40.892,-9.108,100
1638.668,41.13,-8.87,100
1638.868,41.266,-8.734,100
1639.068,41.368,-8.632,100
1639.268,41.538,-8.462,100
1639.668,41.81,-8.19,100
1639.868,41.946,-8.054,100
1640.068,42.082,-7.918,100
1640.268,42.218,-7.782,100
1640.668,42.558,-7.442,100
1640.868,42.694,-7.306,100
1641.068,42.83,-7.17,100
1641.268,43,-7,100
1641.668,43.34,-6.66,100
1641.868,43.476,-6.524,100
1642.068,43.612,-6.388,100
1642.268,43.816,-6.184,100
1642.668,44.123,-5.877,100
1642.868,44.293,-5.707,100
1643.068,44.463,-5.537,100
1643.268,44.633,-5.367,100
1643.668,44.973,-5.027,100
1643.868,45.143,-4.857,100
1644.068,45.313,-4.687,100
1644.268,45.484,-4.516,100
1644.668,45.858,-4.142,100
1644.868,45.994,-4.006,100
1645.068,46.164,-3.836,100
1645.268,46.369,-3.631,100
1645.668,46.709,-3.291,100
1645.868,46.845,-3.155,100
1646.068,47.015,-2.985,100
1646.468,47.39,-2.61,100
1646.668,47.56,-2.44,100
1646.868,47.73,-2.27,95.7997558
1647.268,48.071,-1.929,83.80952381
1647.468,48.241,-1.759,77.7045177
1647.668,48.412,-1.588,71.45299145
1647.868,48.582,-1.418,65.15262515
1648.268,48.923,-1.077,52.23443223
1648.468,49.059,-0.941,47.05738706
1648.668,49.229,-0.771,40.39072039
1649.068,49.536,-0.464,28.20512821
1649.268,49.672,-0.328,22.71062271
1649.468,49.809,-0.191,17.14285714
1649.868,50.081,0.081,5.763125763
1650.068,50.15,0.15,2.832722833
1650.268,50.286,0.286,-2.979242979
1650.468,50.354,0.354,-6.007326007
1650.668,50.422,0.422,-9.084249084
1651.068,50.593,0.593,-16.8009768
1651.268,50.661,0.661,-20
1651.468,50.729,0.729,-23.24786325
1651.868,50.763,0.763,-25.49450549
1652.068,50.831,0.831,-28.79120879
1652.268,50.831,0.831,-29.25518926
1652.468,50.865,0.865,-31.15995116
1652.868,50.831,0.831,-30.67155067
1653.068,50.831,0.831,-31.11111111
1653.268,50.831,0.831,-31.57509158
1653.668,50.763,0.763,-29.5970696
1653.868,50.763,0.763,-30.01221001
1654.068,50.729,0.729,-28.98656899
1654.268,50.695,0.695,-27.96092796
1654.668,50.593,0.593,-24.3956044
1654.868,50.524,0.524,-21.83150183
1655.068,50.49,0.49,-20.68376068
1655.468,50.388,0.388,-16.87423687
1655.668,50.286,0.286,-12.77167277
1655.868,50.252,0.252,-11.47741148
1656.268,50.115,0.115,-5.958485958
1656.468,50.047,0.047,-3.15018315
1656.668,49.979,-0.021,-0.293040293
1656.868,49.911,-0.089,2.564102564
1657.268,49.775,-0.225,8.424908425
1657.468,49.74,-0.26,9.987789988
1657.668,49.672,-0.328,13.01587302
1657.868,49.604,-0.396,16.06837607
1658.268,49.468,-0.532,22.2954823
1658.468,49.4,-0.6,25.47008547
1658.668,49.332,-0.668,28.66910867
1659.068,49.229,-0.771,33.74847375
1659.268,49.161,-0.839,37.04517705
1659.468,49.127,-0.873,38.94993895
1659.868,49.025,-0.975,44.24908425
1660.068,48.991,-1.009,46.22710623
1660.268,48.957,-1.043,48.22954823
1660.468,48.923,-1.077,50.23199023
1660.868,48.889,-1.111,52.86935287
1661.068,48.82,-1.18,56.36141636
1661.268,48.82,-1.18,57.02075702
1661.668,48.82,-1.18,58.31501832
1661.868,48.786,-1.214,60.39072039
1662.068,48.786,-1.214,61.07448107
1662.268,48.82,-1.18,60.29304029
1662.668,48.82,-1.18,61.58730159
1662.868,48.82,-1.18,62.24664225
1663.068,48.82,-1.18,62.88156288
1663.468,48.889,-1.111,61.29426129
1663.668,48.889,-1.111,61.9047619
1663.868,48.923,-1.077,61.07448107
1664.068,48.923,-1.077,61.66056166
1664.468,49.025,-0.975,58.51037851
1664.668,49.059,-0.941,57.60683761
1664.868,49.093,-0.907,56.67887668
1665.268,49.161,-0.839,54.7985348
1665.468,49.195,-0.805,53.82173382
1665.668,49.263,-0.737,51.37973138
1665.868,49.297,-0.703,50.35409035
1666.268,49.366,-0.634,48.22954823
1666.468,49.434,-0.566,45.68986569
1666.668,49.468,-0.532,44.56654457
1666.868,49.502,-0.498,43.41880342
1667.268,49.604,-0.396,39.60927961
1667.468,49.638,-0.362,38.38827839
1667.668,49.672,-0.328,37.16727717
1668.068,49.74,-0.26,34.6031746
1668.268,49.775,-0.225,33.30891331
1668.468,49.809,-0.191,31.99023199
1668.868,49.877,-0.123,29.3040293
1669.068,49.911,-0.089,27.93650794
1669.268,49.945,-0.055,26.54456654
1669.668,49.979,-0.021,25.17704518
1669.868,49.979,-0.021,25.17704518
1670.068,50.013,0.013,23.73626374
1670.268,50.013,0.013,23.73626374
1670.668,50.047,0.047,22.27106227
1670.868,50.047,0.047,22.24664225
1671.068,50.081,0.081,20.78144078
1671.268,50.081,0.081,20.73260073
1671.668,50.081,0.081,20.65934066
1671.868,50.115,0.115,19.16971917
1672.068,50.115,0.115,19.0964591
1672.268,50.081,0.081,20.48840049
1672.668,50.081,0.081,20.39072039
1672.868,50.081,0.081,20.34188034
1673.068,50.081,0.081,20.29304029
1673.468,50.047,0.047,21.66056166
1673.668,50.047,0.047,21.63614164
1673.868,50.047,0.047,21.61172161
1674.268,50.013,0.013,23.003663
1674.468,50.013,0.013,22.97924298
1674.668,49.979,-0.021,24.42002442
1674.868,49.945,-0.055,25.88522589
1675.268,49.945,-0.055,25.93406593
1675.468,49.911,-0.089,27.3992674
1675.668,49.911,-0.089,27.44810745
1676.068,49.877,-0.123,28.98656899
1676.268,49.877,-0.123,29.05982906
1676.468,49.843,-0.157,30.57387057
1676.668,49.843,-0.157,30.64713065
1677.068,49.809,-0.191,32.28327228
1677.268,49.809,-0.191,32.38095238
1677.468,49.775,-0.225,33.91941392
1677.868,49.775,-0.225,34.18803419
1678.068,49.74,-0.26,35.75091575
1678.268,49.74,-0.26,35.87301587
1678.468,49.74,-0.26,36.01953602
1678.868,49.706,-0.294,37.77777778
1679.068,49.706,-0.294,37.92429792
1679.268,49.706,-0.294,38.0952381
1679.468,49.672,-0.328,39.68253968
1679.868,49.672,-0.328,40.02442002
1680.068,49.672,-0.328,40.21978022
1680.268,49.672,-0.328,40.39072039
1680.668,49.672,-0.328,40.75702076
1680.868,49.672,-0.328,40.92796093
1681.068,49.706,-0.294,39.68253968
