Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
384.868,-16.295,3.7049999999999983,-100.0
385.068,-16.295,3.7049999999999983,-100.0
385.468,-16.295,3.7049999999999983,-100.0
385.668,-16.295,3.7049999999999983,-100.0
385.868,-16.295,3.7049999999999983,-100.0
386.068,-16.328,3.6720000000000006,-100.0
386.468,-16.328,3.6720000000000006,-100.0
386.668,-16.328,3.6720000000000006,-100.0
386.868,-16.328,3.6720000000000006,-100.0
387.068,-16.328,3.6720000000000006,-100.0
387.468,-16.295,3.7049999999999983,-100.0
387.668,-16.328,3.6720000000000006,-100.0
387.868,-16.295,3.7049999999999983,-100.0
388.068,-16.328,3.6720000000000006,-100.0
388.468,-16.328,3.6720000000000006,-100.0
388.668,-16.328,3.6720000000000006,-100.0
388.868,-16.328,3.6720000000000006,-100.0
389.268,-16.328,3.6720000000000006,-100.0
389.468,-16.328,3.6720000000000006,-100.0
389.668,-16.328,3.6720000000000006,-100.0
389.868,-16.328,3.6720000000000006,-100.0
390.268,-16.328,3.6720000000000006,-100.0
390.468,-16.328,3.6720000000000006,-100.0
390.668,-16.328,3.6720000000000006,-100.0
390.868,-16.328,3.6720000000000006,-100.0
391.268,-16.328,3.6720000000000006,-100.0
391.468,-16.362,3.6380000000000017,-100.0
391.668,-16.328,3.6720000000000006,-100.0
391.868,-16.362,3.6380000000000017,-100.0
392.268,-16.362,3.6380000000000017,-100.0
392.468,-16.362,3.6380000000000017,-100.0
392.668,-16.328,3.6720000000000006,-100.0
392.868,-16.362,3.6380000000000017,-100.0
393.268,-16.362,3.6380000000000017,-100.0
393.468,-16.328,3.6720000000000006,-100.0
393.668,-16.362,3.6380000000000017,-100.0
393.868,-16.362,3.6380000000000017,-100.0
394.268,-16.362,3.6380000000000017,-100.0
394.468,-16.362,3.6380000000000017,-100.0
394.668,-16.362,3.6380000000000017,-100.0
395.068,-16.362,3.6380000000000017,-100.0
395.268,-16.362,3.6380000000000017,-100.0
395.468,-16.362,3.6380000000000017,-100.0
395.668,-16.362,3.6380000000000017,-100.0
396.068,-16.362,3.6380000000000017,-100.0
396.268,-16.362,3.6380000000000017,-100.0
396.468,-16.395,3.6050000000000004,-100.0
396.868,-16.395,3.6050000000000004,-100.0
397.068,-16.395,3.6050000000000004,-100.0
397.268,-16.395,3.6050000000000004,-100.0
397.468,-16.395,3.6050000000000004,-100.0
397.868,-16.395,3.6050000000000004,-100.0
398.068,-16.395,3.6050000000000004,-100.0
398.268,-16.395,3.6050000000000004,-100.0
398.468,-16.395,3.6050000000000004,-100.0
398.868,-16.395,3.6050000000000004,-100.0
399.068,-16.395,3.6050000000000004,-100.0
399.268,-16.395,3.6050000000000004,-100.0
399.468,-16.395,3.6050000000000004,-100.0
399.868,-16.395,3.6050000000000004,-100.0
400.068,-16.395,3.6050000000000004,-100.0
400.268,-16.395,3.6050000000000004,-100.0
400.468,-16.395,3.6050000000000004,-100.0
400.868,-16.429,3.5710000000000015,-100.0
401.068,-16.395,3.6050000000000004,-100.0
401.268,-16.429,3.5710000000000015,-100.0
401.668,-16.429,3.5710000000000015,-100.0
401.868,-16.429,3.5710000000000015,-100.0
402.068,-16.429,3.5710000000000015,-100.0
402.268,-16.429,3.5710000000000015,-100.0
402.668,-16.429,3.5710000000000015,-100.0
402.868,-16.429,3.5710000000000015,-100.0
403.068,-16.429,-6.4289999999999985,-100.0
403.468,-16.429,-6.4289999999999985,100.0
403.668,-16.462,-6.462,100.0
403.868,-16.429,-6.4289999999999985,100.0
404.068,-16.429,-6.4289999999999985,100.0
404.468,-16.362,-6.361999999999998,100.0
404.668,-16.295,-6.295000000000002,100.0
404.868,-16.228,-6.2280000000000015,100.0
405.068,-16.128,-6.128,100.0
405.468,-15.927,-5.927,100.0
405.668,-15.794,-5.7940000000000005,100.0
405.868,-15.66,-5.66,100.0
406.068,-15.526,-5.526,100.0
406.468,-15.192,-5.192,100.0
406.668,-14.992,-4.992000000000001,100.0
406.868,-14.824,-4.824,100.0
407.268,-14.423,-4.423,100.0
407.468,-14.189,-4.189,100.0
407.668,-13.989,-3.9890000000000008,100.0
407.868,-13.755,-3.755000000000001,100.0
408.268,-13.286,-3.2859999999999996,100.0
408.468,-13.019,-3.019,100.0
408.668,-12.785,-2.785,100.0
408.868,-12.517,-2.5169999999999995,100.0
409.268,-12.015,-2.0150000000000006,100.0
409.468,-11.781,-1.7810000000000006,100.0
409.668,-11.48,-1.4800000000000004,100.0
410.068,-10.945,-0.9450000000000003,79.75579975579976
410.268,-10.677,-0.6769999999999996,58.16849816849817
410.468,-10.376,-0.37599999999999945,33.47985347985348
410.668,-10.108,-0.10800000000000054,11.282051282051283
410.868,-9.84,0.16000000000000014,-11.184371184371184
411.268,-9.304,0.6959999999999997,-57.0940170940171
411.468,-9.003,0.9969999999999999,-83.2967032967033
411.668,-8.769,1.2309999999999999,-100.0
412.068,-8.266,1.734,-100.0
412.268,-8.065,1.9350000000000005,-100.0
412.468,-7.864,2.136,-100.0
412.668,-7.663,2.3369999999999997,-100.0
413.068,-7.328,2.6719999999999997,-100.0
413.268,-7.161,2.8390000000000004,-100.0
413.468,-7.027,2.973,-100.0
413.868,-6.759,3.2409999999999997,-100.0
414.068,-6.658,3.3419999999999996,-100.0
414.268,-6.524,3.476,-100.0
414.468,-6.457,3.543,-100.0
414.868,-6.256,3.7439999999999998,-100.0
415.068,-6.223,3.777,-100.0
415.268,-6.122,3.878,-100.0
415.668,-6.021,3.979,-100.0
415.868,-5.988,4.012,-100.0
416.068,-5.921,4.079,-100.0
416.268,-5.887,4.113,-100.0
416.668,-5.82,4.18,-100.0
416.868,-5.787,4.213,-100.0
417.068,-5.753,4.247,-100.0
417.268,-5.72,4.28,-100.0
417.668,-5.686,4.314,-100.0
417.868,-5.653,4.347,-100.0
418.068,-5.653,4.347,-100.0
418.468,-5.619,4.381,-100.0
418.668,-5.653,4.347,-100.0
418.868,-5.653,4.347,-100.0
419.068,-5.619,4.381,-100.0
419.468,-5.619,4.381,-100.0
419.668,-5.619,4.381,-100.0
419.868,-5.653,4.347,-100.0
420.068,-5.653,4.347,-100.0
420.468,-5.619,4.381,-100.0
420.668,-5.653,4.347,-100.0
420.868,-5.686,4.314,-100.0
421.268,-5.686,4.314,-100.0
421.468,-5.72,4.28,-100.0
421.668,-5.72,4.28,-100.0
421.868,-5.753,4.247,-100.0
422.268,-5.753,4.247,-100.0
422.468,-5.787,4.213,-100.0
422.668,-5.787,4.213,-100.0
423.068,-5.854,4.146,-100.0
423.268,-5.854,4.146,-100.0
423.468,-5.854,4.146,-100.0
423.668,-5.921,4.079,-100.0
424.068,-5.921,4.079,-100.0
424.268,-5.954,4.046,-100.0
424.468,-5.954,4.046,-100.0
424.868,-5.988,4.012,-100.0
425.068,-6.021,3.979,-100.0
425.268,-6.055,3.9450000000000003,-100.0
425.468,-6.088,3.912,-100.0
425.868,-6.122,3.878,-100.0
426.068,-6.155,3.8449999999999998,-100.0
426.268,-6.155,3.8449999999999998,-100.0
426.468,-6.223,3.777,-100.0
426.868,-6.256,3.7439999999999998,-100.0
427.068,-6.256,3.7439999999999998,-100.0
427.268,-6.29,3.71,-100.0
427.668,-6.357,3.643,-100.0
427.868,-6.39,3.6100000000000003,-100.0
428.068,-6.424,3.5759999999999996,-100.0
428.268,-6.424,3.5759999999999996,-100.0
428.668,-6.457,3.543,-100.0
428.868,-6.524,3.476,-100.0
429.068,-6.524,3.476,-100.0
429.468,-6.591,3.409,-100.0
429.668,-6.625,3.375,-100.0
429.868,-6.625,3.375,-100.0
430.268,-6.692,3.308,-100.0
430.468,-6.725,3.2750000000000004,-100.0
430.668,-6.759,3.2409999999999997,-100.0
430.868,-6.759,3.2409999999999997,-100.0
431.268,-6.826,3.1740000000000004,-100.0
431.468,-6.859,3.141,-100.0
431.668,-6.859,3.141,-100.0
431.868,-6.893,3.107,-100.0
432.268,-6.96,3.04,-100.0
432.468,-6.993,3.0069999999999997,-100.0
432.668,-7.027,2.973,-100.0
432.868,-7.027,2.973,-100.0
433.268,-7.094,2.9059999999999997,-100.0
433.468,-7.127,2.873,-100.0
433.668,-7.161,2.8390000000000004,-100.0
434.068,-7.194,2.806,-100.0
434.268,-7.228,2.7720000000000002,-100.0
434.468,-7.261,2.739,-100.0
434.668,-7.295,2.705,-100.0
435.068,-7.328,2.6719999999999997,-100.0
435.268,-7.362,2.638,-100.0
435.468,-7.395,2.6050000000000004,-100.0
435.868,-7.429,2.5709999999999997,-100.0
436.068,-7.462,2.5380000000000003,-100.0
436.268,-7.496,2.5039999999999996,-100.0
436.668,-7.563,2.4370000000000003,-100.0
436.868,-7.563,2.4370000000000003,-100.0
437.068,-7.596,2.404,-100.0
437.268,-7.63,2.37,-100.0
437.668,-7.663,2.3369999999999997,-100.0
437.868,-7.697,2.303,-100.0
438.068,-7.73,2.2699999999999996,-100.0
438.268,-7.764,2.2359999999999998,-100.0
438.668,-7.797,2.2030000000000003,-100.0
438.868,-7.831,2.1689999999999996,-100.0
439.068,-7.864,2.136,-100.0
439.468,-7.898,2.1020000000000003,-100.0
439.668,-7.931,2.069,-100.0
439.868,-7.965,2.035,-100.0
440.068,-7.965,2.035,-100.0
440.468,-8.032,1.968,-100.0
440.668,-8.032,1.968,-100.0
440.868,-8.065,1.9350000000000005,-100.0
441.068,-8.099,1.9009999999999998,-100.0
441.468,-8.166,1.8339999999999996,-100.0
441.668,-8.166,1.8339999999999996,-100.0
441.868,-8.199,1.8010000000000002,-100.0
442.268,-8.266,1.734,-100.0
442.468,-8.266,1.734,-100.0
442.668,-8.3,1.6999999999999993,-100.0
442.868,-8.333,1.6669999999999998,-100.0
443.268,-8.367,1.6329999999999991,-100.0
443.468,-8.367,1.6329999999999991,-100.0
443.668,-8.434,1.5660000000000007,-100.0
444.068,-8.467,1.5329999999999995,-100.0
444.268,-8.501,1.4990000000000006,-100.0
444.468,-8.534,1.4659999999999993,-100.0
444.668,-8.534,1.4659999999999993,-100.0
445.068,-8.568,1.4320000000000004,-100.0
445.268,-8.601,1.3989999999999991,-100.0
445.468,-8.668,1.3320000000000007,-100.0
