Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
379.668,40.009,0.009,22.61294261
379.868,40.009,0.009,22.58852259
380.068,39.975,-0.025,24.02930403
380.468,39.975,-0.025,24.05372405
380.668,40.009,0.009,22.61294261
380.868,40.009,0.009,22.61294261
381.268,39.975,-0.025,24.05372405
381.468,40.009,0.009,22.61294261
381.668,40.009,0.009,22.61294261
382.068,39.975,-0.025,24.05372405
382.268,40.009,0.009,22.63736264
382.468,40.009,0.009,22.63736264
382.868,40.009,0.009,22.63736264
383.068,40.009,0.009,22.63736264
383.268,40.009,0.009,22.63736264
383.468,39.975,-0.025,24.05372405
383.868,40.009,0.009,22.63736264
384.068,40.009,0.009,22.63736264
384.268,40.009,0.009,22.63736264
384.468,40.009,0.009,22.61294261
384.868,40.009,0.009,22.61294261
385.068,40.009,0.009,22.61294261
385.268,39.975,-0.025,24.02930403
385.468,40.009,0.009,22.61294261
385.868,40.009,0.009,22.58852259
386.068,40.009,0.009,22.58852259
386.268,39.975,-0.025,24.004884
386.468,40.009,0.009,22.58852259
386.868,40.009,0.009,22.58852259
387.068,40.009,0.009,22.58852259
387.268,40.009,0.009,22.56410256
387.468,40.009,0.009,22.56410256
387.868,40.009,0.009,22.56410256
388.068,40.009,0.009,22.56410256
388.268,40.009,0.009,22.53968254
388.668,40.009,0.009,22.53968254
388.868,40.009,0.009,22.53968254
389.068,40.009,0.009,22.53968254
389.468,40.009,0.009,22.51526252
389.668,40.009,0.009,22.51526252
389.868,40.009,0.009,22.51526252
390.068,40.009,0.009,22.51526252
390.468,40.009,0.009,22.49084249
390.668,40.009,0.009,22.49084249
390.868,40.009,0.009,22.49084249
391.068,40.009,0.009,22.49084249
391.468,40.009,0.009,22.46642247
391.668,40.009,0.009,22.46642247
391.868,40.009,0.009,22.46642247
392.268,40.009,0.009,22.44200244
392.468,39.975,-0.025,23.88278388
392.668,40.009,0.009,22.46642247
392.868,40.009,0.009,22.46642247
393.268,39.975,-0.025,23.88278388
393.468,40.009,0.009,22.46642247
393.668,40.009,0.009,22.46642247
393.868,40.009,0.009,22.44200244
394.268,40.009,0.009,22.44200244
394.468,40.009,0.009,22.44200244
394.668,40.009,0.009,22.44200244
395.068,40.009,0.009,22.41758242
395.268,40.009,0.009,22.41758242
395.468,40.009,0.009,22.41758242
395.668,40.009,0.009,22.41758242
396.068,40.009,0.009,22.39316239
396.268,40.009,0.009,22.39316239
396.468,40.009,0.009,22.39316239
396.668,40.009,0.009,22.39316239
397.068,39.975,-0.025,23.80952381
397.268,40.009,0.009,22.39316239
397.468,40.009,0.009,22.39316239
397.868,40.009,0.009,22.36874237
398.068,40.009,0.009,22.36874237
398.268,40.009,0.009,22.36874237
398.668,40.009,0.009,22.34432234
398.868,40.009,0.009,22.34432234
399.068,39.975,-0.025,23.78510379
399.468,40.043,0.043,20.92796093
399.668,40.009,0.009,22.31990232
399.868,39.975,-0.025,23.76068376
400.068,40.009,0.009,22.34432234
400.468,40.009,0.009,22.31990232
400.668,40.009,0.009,22.31990232
400.868,40.009,0.009,22.31990232
401.268,40.009,0.009,22.31990232
401.468,40.009,0.009,22.2954823
401.668,40.009,0.009,22.2954823
402.068,40.009,0.009,22.31990232
402.268,40.009,0.009,22.2954823
402.468,40.009,0.009,22.2954823
402.668,40.009,0.009,22.2954823
403.068,39.975,-0.025,23.71184371
403.268,40.009,0.009,22.2954823
403.468,40.009,0.009,22.2954823
403.668,40.009,0.009,22.2954823
404.068,40.009,0.009,22.2954823
404.268,39.975,-0.025,23.73626374
404.468,40.009,0.009,22.2954823
404.868,39.975,-0.025,23.73626374
405.068,39.975,-0.025,23.76068376
405.268,40.009,0.009,22.31990232
405.468,40.009,0.009,22.31990232
405.868,39.975,-0.025,23.76068376
406.068,39.975,-0.025,23.76068376
406.268,39.975,-0.025,23.78510379
406.668,40.009,0.009,22.34432234
406.868,40.009,0.009,22.34432234
407.068,40.009,0.009,22.34432234
407.268,39.975,-0.025,23.76068376
407.668,40.009,0.009,22.34432234
407.868,39.975,-0.025,23.78510379
408.068,40.009,0.009,22.34432234
408.468,39.975,-0.025,23.78510379
408.668,40.009,0.009,22.34432234
408.868,40.009,0.009,22.34432234
409.068,40.009,0.009,22.34432234
409.468,40.009,0.009,22.34432234
409.668,40.009,0.009,22.31990232
409.868,40.009,0.009,22.31990232
410.068,40.009,0.009,22.31990232
410.468,39.975,-0.025,23.76068376
410.668,40.009,0.009,22.34432234
410.868,40.009,0.009,22.34432234
411.068,40.009,0.009,22.34432234
411.468,39.975,-0.025,23.76068376
411.668,39.975,-0.025,23.78510379
411.868,40.009,0.009,22.34432234
412.268,39.975,-0.025,23.80952381
412.468,39.975,-0.025,23.80952381
412.668,40.009,0.009,22.39316239
412.868,40.009,0.009,22.39316239
413.268,39.975,-0.025,23.80952381
413.468,40.009,0.009,22.39316239
413.668,39.975,-0.025,23.83394383
414.068,40.009,0.009,22.39316239
414.268,40.009,0.009,22.39316239
414.468,40.009,0.009,22.39316239
414.668,40.009,0.009,22.36874237
415.068,39.975,-0.025,23.80952381
415.268,40.009,0.009,22.39316239
415.468,40.009,0.009,22.36874237
415.668,40.009,0.009,22.36874237
416.068,39.975,-0.025,23.80952381
416.268,40.009,0.009,22.36874237
416.468,40.009,0.009,22.36874237
416.668,40.009,0.009,22.36874237
417.068,40.009,0.009,22.36874237
417.268,40.009,0.009,22.34432234
417.468,40.009,0.009,22.34432234
417.868,40.009,0.009,22.34432234
418.068,40.009,0.009,22.34432234
418.268,40.009,0.009,22.31990232
418.668,40.009,0.009,22.31990232
418.868,39.975,-0.025,23.76068376
419.068,40.009,0.009,22.31990232
419.468,40.009,0.009,22.31990232
419.668,40.009,0.009,22.31990232
419.868,40.009,0.009,22.31990232
420.268,40.009,0.009,22.2954823
420.468,40.009,0.009,22.2954823
420.668,40.009,0.009,22.2954823
420.868,40.009,0.009,22.2954823
421.268,40.009,0.009,22.27106227
421.468,40.009,0.009,22.27106227
421.668,40.009,0.009,22.27106227
422.068,40.009,0.009,22.24664225
422.268,40.009,0.009,22.24664225
422.468,40.009,0.009,22.24664225
422.668,40.009,0.009,22.24664225
423.068,40.009,0.009,22.22222222
423.268,40.009,0.009,22.22222222
423.468,40.009,0.009,22.22222222
423.868,40.009,0.009,22.22222222
424.068,40.009,0.009,22.22222222
424.268,40.009,0.009,22.22222222
424.668,40.009,0.009,22.22222222
424.868,39.975,-0.025,23.63858364
425.068,40.009,0.009,22.22222222
425.268,40.009,0.009,22.22222222
425.668,40.009,0.009,22.22222222
425.868,40.009,0.009,22.22222222
426.068,40.009,0.009,22.22222222
426.268,39.975,-0.025,23.63858364
426.668,40.009,0.009,22.24664225
426.868,39.975,-0.025,23.66300366
427.068,40.009,0.009,22.24664225
427.468,40.009,0.009,22.24664225
427.668,40.009,0.009,22.24664225
427.868,40.009,0.009,22.22222222
428.068,40.009,0.009,22.22222222
428.468,40.009,0.009,22.22222222
428.668,40.009,0.009,22.22222222
428.868,40.009,0.009,22.1978022
429.268,40.009,0.009,22.22222222
429.468,40.009,0.009,22.1978022
429.668,39.975,-0.025,23.63858364
429.868,40.009,0.009,22.22222222
430.268,40.009,0.009,22.22222222
430.468,39.975,-0.025,23.66300366
430.668,40.009,0.009,22.24664225
430.868,39.975,-0.025,23.66300366
431.268,40.009,0.009,22.24664225
431.468,39.975,-0.025,23.66300366
431.668,40.009,0.009,22.24664225
431.868,40.009,0.009,22.24664225
432.268,40.009,0.009,22.24664225
432.468,40.009,0.009,22.22222222
432.668,39.975,-0.025,23.66300366
433.069,39.975,-0.025,23.68742369
433.268,39.975,-0.025,23.71184371
433.468,40.009,0.009,22.27106227
433.668,39.975,-0.025,23.71184371
433.868,40.009,0.009,22.2954823
434.268,40.009,0.009,22.2954823
434.468,40.009,0.009,22.2954823
434.668,39.975,-0.025,23.73626374
435.068,39.975,-0.025,23.73626374
435.268,40.009,0.009,22.31990232
435.468,39.975,-0.025,23.73626374
435.868,40.009,0.009,22.31990232
436.068,40.009,0.009,22.31990232
436.268,40.009,0.009,22.31990232
436.668,39.975,-0.025,23.76068376
436.868,39.975,-0.025,23.76068376
437.068,40.009,0.009,22.34432234
437.268,40.009,0.009,22.34432234
437.668,40.009,0.009,22.31990232
437.868,40.009,0.009,22.31990232
438.068,40.009,0.009,22.31990232
438.268,40.009,0.009,22.31990232
438.668,40.009,0.009,22.2954823
438.868,39.975,-0.025,23.73626374
439.068,40.009,0.009,22.31990232
439.468,40.009,0.009,22.2954823
439.668,40.009,0.009,22.2954823
439.868,40.009,0.009,22.2954823
440.068,40.009,0.009,22.2954823
440.468,40.009,0.009,22.27106227
440.668,40.009,0.009,22.27106227
440.868,40.009,0.009,22.27106227
441.068,40.009,0.009,22.27106227
441.468,40.009,0.009,22.24664225
441.668,40.009,0.009,22.24664225
441.868,40.009,0.009,22.24664225
442.068,40.009,0.009,22.24664225
442.468,40.009,0.009,22.22222222
442.668,40.009,0.009,22.22222222
442.868,40.009,0.009,22.22222222
443.268,40.009,0.009,22.22222222
443.468,40.009,0.009,22.1978022
443.668,40.009,0.009,22.1978022
444.068,40.009,0.009,22.22222222
444.268,40.009,0.009,22.1978022
444.468,39.975,-0.025,23.63858364
444.668,40.009,0.009,22.22222222
445.068,40.009,0.009,22.1978022
445.268,40.009,0.009,22.1978022
445.468,40.009,0.009,22.1978022
445.668,40.009,0.009,22.1978022
446.068,40.009,0.009,22.17338217
447.068,40.009,0.009,22.14896215
447.268,40.009,0.009,22.14896215
447.468,40.009,0.009,22.14896215
447.668,40.009,0.009,22.14896215
448.068,40.009,0.009,22.12454212
448.268,39.975,-0.025,23.56532357
448.468,40.009,0.009,22.14896215
448.668,40.009,0.009,22.14896215
449.068,39.975,-0.025,23.56532357
449.268,39.975,-0.025,23.58974359
449.468,40.009,0.009,22.14896215
449.668,40.009,0.009,22.14896215
450.068,40.009,0.009,22.14896215
450.268,40.009,0.009,22.14896215
450.468,39.975,-0.025,23.56532357
450.868,40.009,0.009,22.14896215
451.068,40.009,0.009,22.14896215
451.268,40.009,0.009,22.12454212
451.668,40.009,0.009,22.12454212
451.868,39.975,-0.025,23.56532357
452.068,40.009,0.009,22.12454212
452.268,39.975,-0.025,23.56532357
452.668,40.009,0.009,22.14896215
452.868,40.009,0.009,22.14896215
453.068,40.009,0.009,22.14896215
453.268,40.009,0.009,22.14896215
453.668,40.009,0.009,22.14896215
453.868,39.975,-0.025,23.58974359
454.068,39.975,-0.025,23.58974359
454.468,40.009,0.009,22.1978022
454.668,39.975,-0.025,23.61416361
454.868,39.975,-0.025,23.63858364
455.068,40.009,0.009,22.22222222
455.468,40.009,0.009,22.1978022
455.668,40.009,0.009,22.1978022
455.868,39.975,-0.025,23.63858364
456.268,40.009,0.009,22.22222222
456.468,40.009,0.009,22.22222222
456.668,40.009,0.009,22.22222222
457.068,40.009,0.009,22.1978022
457.268,39.975,-0.025,23.63858364
457.468,40.009,0.009,22.1978022
457.668,40.009,0.009,22.1978022
458.068,39.975,-0.025,23.66300366
458.268,40.009,0.009,22.22222222
458.468,40.009,0.009,22.22222222
458.668,40.009,0.009,22.22222222
459.068,39.975,-0.025,23.66300366
459.268,39.975,-0.025,23.68742369
459.468,39.975,-0.025,23.68742369
459.868,39.975,-0.025,23.71184371
460.068,40.009,0.009,22.27106227
460.268,39.975,-0.025,23.71184371
460.468,40.009,0.009,22.2954823
460.868,39.975,-0.025,23.71184371
