Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
1533.668,-9.974,0.026,-75.62881563
1533.868,-9.974,0.026,-75.65323565
1534.068,-9.974,0.026,-75.65323565
1534.268,-9.974,0.026,-75.67765568
1534.668,-9.974,0.026,-75.7020757
1534.868,-9.974,0.026,-75.72649573
1535.068,-9.974,0.026,-75.72649573
1535.468,-9.974,0.026,-75.75091575
1535.668,-10.007,-0.007,-74.35897436
1535.868,-10.007,-0.007,-74.35897436
1536.068,-10.007,-0.007,-74.35897436
1536.468,-9.974,0.026,-75.75091575
1536.668,-9.974,0.026,-75.77533578
1536.868,-10.007,-0.007,-74.38339438
1537.068,-9.974,0.026,-75.77533578
1537.468,-9.974,0.026,-75.7997558
1537.668,-9.974,0.026,-75.7997558
1537.868,-9.974,0.026,-75.82417582
1538.268,-10.007,-0.007,-74.40781441
1538.468,-10.007,-0.007,-74.40781441
1538.668,-10.007,-0.007,-74.40781441
1539.068,-9.974,0.026,-75.82417582
1539.268,-10.007,-0.007,-74.40781441
1539.468,-10.007,-0.007,-74.40781441
1539.668,-10.007,-0.007,-74.40781441
1540.068,-10.007,-0.007,-74.40781441
1540.268,-10.007,-0.007,-74.38339438
1540.468,-10.007,-0.007,-74.38339438
1540.868,-10.007,-0.007,-74.38339438
1541.068,-10.007,-0.007,-74.38339438
1541.268,-10.007,-0.007,-74.38339438
1541.468,-10.007,-0.007,-74.35897436
1541.868,-10.007,-0.007,-74.35897436
1542.068,-10.007,-0.007,-74.35897436
1542.268,-10.041,-0.041,-72.94261294
1542.668,-10.007,-0.007,-74.33455433
1542.868,-10.007,-0.007,-74.33455433
1543.068,-10.007,-0.007,-74.31013431
1543.268,-10.041,-0.041,-72.89377289
1543.668,-10.007,-0.007,-74.28571429
1543.868,-10.007,-0.007,-74.28571429
1544.068,-10.041,-0.041,-72.86935287
1544.268,-10.007,-0.007,-74.26129426
1544.668,-10.041,-0.041,-72.82051282
1544.868,-10.041,-0.041,-72.7960928
1545.068,-10.041,-0.041,-72.77167277
1545.268,-10.007,-0.007,-74.16361416
1545.668,-10.007,-0.007,-74.16361416
1545.868,-10.007,-0.007,-74.13919414
1546.068,-10.007,-0.007,-74.13919414
1546.268,-10.007,-0.007,-74.13919414
1546.668,-10.041,-0.041,-72.72283272
1546.868,-10.007,-0.007,-74.11477411
1547.068,-10.007,-0.007,-74.11477411
1547.268,-10.007,-0.007,-74.11477411
1547.668,-10.007,-0.007,-74.09035409
1547.868,-10.007,-0.007,-74.09035409
1548.068,-10.007,-0.007,-74.09035409
1548.468,-10.007,-0.007,-74.09035409
1548.668,-10.007,-0.007,-74.06593407
1548.868,-10.007,-0.007,-74.06593407
1549.068,-10.041,-0.041,-72.64957265
1549.468,-10.041,-0.041,-72.62515263
1549.668,-10.007,-0.007,-74.01709402
1549.868,-10.007,-0.007,-74.01709402
1550.268,-10.007,-0.007,-73.99267399
1550.468,-10.007,-0.007,-73.99267399
1550.668,-10.007,-0.007,-73.96825397
1550.868,-10.007,-0.007,-73.96825397
1551.268,-10.007,-0.007,-73.96825397
1551.468,-10.007,-0.007,-73.96825397
1551.668,-10.007,-0.007,-73.96825397
1552.068,-10.007,-0.007,-73.94383394
1552.268,-10.041,-0.041,-72.52747253
1552.468,-10.041,-0.041,-72.5030525
1552.668,-10.007,-0.007,-73.89499389
1553.068,-10.007,-0.007,-73.89499389
1553.268,-10.007,-0.007,-73.89499389
1553.468,-10.007,-0.007,-73.89499389
1553.668,-10.041,-0.041,-72.47863248
1554.068,-10.007,-0.007,-73.84615385
1554.268,-10.007,-0.007,-73.84615385
1554.468,-10.007,-0.007,-73.84615385
1554.868,-10.007,-0.007,-73.84615385
1555.068,-10.007,-0.007,-73.84615385
1555.268,-10.007,-0.007,-73.82173382
1555.468,-10.007,-0.007,-73.82173382
1555.868,-10.007,-0.007,-73.82173382
1556.068,-10.007,-0.007,-73.82173382
1556.268,-10.007,-0.007,-73.7973138
1556.468,-10.007,-0.007,-73.7973138
1556.868,-10.007,-0.007,-73.7973138
1557.068,-10.007,-0.007,-73.7973138
1557.268,-10.007,-0.007,-73.7973138
1557.668,-10.007,-0.007,-73.77289377
1557.868,-10.007,-0.007,-73.77289377
1558.068,-10.007,-0.007,-73.77289377
1558.468,-10.007,-0.007,-73.77289377
1558.668,-10.007,-0.007,-73.74847375
1558.868,-10.007,-0.007,-73.74847375
1559.268,-10.007,-0.007,-73.74847375
1559.468,-10.007,-0.007,-73.74847375
1559.668,-10.007,-0.007,-73.74847375
1559.868,-10.007,-0.007,-73.72405372
1560.268,-10.007,-0.007,-73.72405372
1560.468,-10.007,-0.007,-73.72405372
1560.668,-10.007,-0.007,-73.72405372
1561.068,-10.007,-0.007,-73.6996337
1561.268,-10.007,-0.007,-73.6996337
1561.468,-10.007,-0.007,-73.67521368
1561.668,-10.041,-0.041,-72.25885226
1562.068,-10.041,-0.041,-72.23443223
1562.268,-10.007,-0.007,-73.62637363
1562.468,-10.041,-0.041,-72.21001221
1562.868,-10.007,-0.007,-73.57753358
1563.068,-10.007,-0.007,-73.57753358
1563.268,-10.007,-0.007,-73.57753358
1563.468,-10.007,-0.007,-73.57753358
1563.868,-10.007,-0.007,-73.55311355
1564.068,-10.007,-0.007,-73.52869353
1564.268,-10.041,-0.041,-72.11233211
1564.468,-10.041,-0.041,-72.08791209
1564.868,-10.007,-0.007,-73.47985348
1565.068,-10.041,-0.041,-72.06349206
1565.268,-10.007,-0.007,-73.45543346
1565.668,-10.041,-0.041,-72.03907204
1565.868,-10.007,-0.007,-73.43101343
1566.068,-10.007,-0.007,-73.43101343
1566.468,-10.041,-0.041,-72.01465201
1566.668,-10.041,-0.041,-71.99023199
1566.868,-10.007,-0.007,-73.38217338
1567.268,-10.007,-0.007,-73.35775336
1567.468,-10.007,-0.007,-73.35775336
1567.668,-10.007,-0.007,-73.35775336
1567.868,-10.007,-0.007,-73.35775336
1568.268,-10.007,-0.007,-73.33333333
1568.468,-10.007,-0.007,-73.33333333
1568.668,-10.007,-0.007,-73.33333333
1569.068,-10.041,-0.041,-71.91697192
1569.268,-10.007,-0.007,-73.30891331
1569.468,-10.007,-0.007,-73.30891331
1569.668,-10.007,-0.007,-73.28449328
1570.068,-10.007,-0.007,-73.28449328
1570.268,-10.041,-0.041,-71.86813187
1570.468,-10.007,-0.007,-73.26007326
1570.668,-10.007,-0.007,-73.26007326
1571.068,-10.007,-0.007,-73.26007326
1571.268,-10.007,-0.007,-73.23565324
1571.468,-10.007,-0.007,-73.23565324
1571.868,-10.007,-0.007,-73.26007326
1572.068,-10.007,-0.007,-73.23565324
1572.268,-9.974,0.026,-74.65201465
1572.468,-10.007,-0.007,-73.26007326
1572.868,-10.007,-0.007,-73.26007326
1573.068,-10.007,-0.007,-73.23565324
1573.268,-10.007,-0.007,-73.23565324
1573.468,-10.007,-0.007,-73.23565324
1573.868,-10.007,-0.007,-73.23565324
1574.068,-10.007,-0.007,-73.23565324
1574.268,-10.007,-0.007,-73.21123321
1574.668,-10.007,-0.007,-73.21123321
1574.868,-10.007,-0.007,-73.21123321
1575.068,-10.007,-0.007,-73.21123321
1575.268,-10.007,-0.007,-73.21123321
1575.668,-10.007,-0.007,-73.21123321
1575.868,-10.007,-0.007,-73.21123321
1576.068,-10.007,-0.007,-73.21123321
1576.468,-10.007,-0.007,-73.18681319
1576.668,-10.007,-0.007,-73.18681319
1576.868,-10.007,-0.007,-73.18681319
1577.068,-10.007,-0.007,-73.18681319
1577.468,-10.007,-0.007,-73.18681319
1577.668,-10.007,-0.007,-73.18681319
1577.868,-9.974,0.026,-74.6031746
1578.068,-9.974,0.026,-74.6031746
1578.468,-9.974,0.026,-74.62759463
1578.668,-10.007,-0.007,-73.23565324
1578.868,-9.974,0.026,-74.65201465
1579.268,-10.007,-0.007,-73.23565324
1579.468,-10.007,-0.007,-73.23565324
1579.668,-10.007,-0.007,-73.23565324
1580.068,-10.007,-0.007,-73.23565324
1580.268,-9.974,0.026,-74.62759463
1580.468,-10.007,-0.007,-73.23565324
1580.668,-10.007,-0.007,-73.23565324
1581.068,-10.007,-0.007,-73.23565324
1581.268,-9.974,0.026,-74.62759463
1581.468,-10.007,-0.007,-73.23565324
1581.668,-10.007,-0.007,-73.23565324
1582.068,-10.007,-0.007,-73.23565324
1582.268,-10.007,-0.007,-73.21123321
1582.468,-10.007,-0.007,-73.21123321
1582.668,-10.007,-0.007,-73.21123321
1583.068,-10.007,-0.007,-73.21123321
1583.268,-10.007,-0.007,-73.21123321
1583.468,-10.007,-0.007,-73.18681319
1583.868,-10.007,-0.007,-73.18681319
1584.068,-10.007,-0.007,-73.18681319
1584.268,-10.007,-0.007,-73.18681319
1584.668,-10.007,-0.007,-73.16239316
1584.868,-10.007,-0.007,-73.16239316
1585.068,-10.007,-0.007,-73.16239316
1585.268,-9.974,0.026,-74.57875458
1585.668,-9.974,0.026,-74.57875458
1585.868,-10.007,-0.007,-73.18681319
1586.068,-9.974,0.026,-74.6031746
1586.268,-10.007,-0.007,-73.18681319
1586.668,-10.007,-0.007,-73.21123321
1586.868,-10.007,-0.007,-73.21123321
1587.068,-10.007,-0.007,-73.18681319
1587.468,-10.007,-0.007,-73.18681319
1587.668,-9.974,0.026,-74.6031746
1587.868,-9.974,0.026,-74.6031746
1588.268,-10.007,-0.007,-73.21123321
1588.468,-10.007,-0.007,-73.21123321
1588.668,-10.007,-0.007,-73.21123321
1588.868,-10.007,-0.007,-73.18681319
1589.268,-9.974,0.026,-74.6031746
1589.468,-10.007,-0.007,-73.21123321
1589.668,-10.007,-0.007,-73.21123321
1590.068,-10.007,-0.007,-73.18681319
1590.268,-10.007,-0.007,-73.18681319
1590.468,-10.007,-0.007,-73.18681319
1590.668,-9.974,0.026,-74.6031746
1591.068,-10.007,-0.007,-73.21123321
1591.268,-10.007,-0.007,-73.21123321
1591.468,-10.007,-0.007,-73.21123321
1591.868,-10.007,-0.007,-73.21123321
1592.068,-10.007,-0.007,-73.21123321
1592.268,-10.007,-0.007,-73.21123321
1592.468,-9.974,0.026,-74.6031746
1592.868,-10.007,-0.007,-73.21123321
1593.068,-10.007,-0.007,-73.21123321
1593.268,-10.007,-0.007,-73.21123321
1593.668,-10.007,-0.007,-73.18681319
1593.868,-9.974,0.026,-74.6031746
1594.068,-9.974,0.026,-74.6031746
1594.268,-9.974,0.026,-74.62759463
1594.668,-9.974,0.026,-74.65201465
1594.868,-9.974,0.026,-74.67643468
1595.068,-9.974,0.026,-74.67643468
1595.468,-10.007,-0.007,-73.28449328
1595.668,-9.974,0.026,-74.7008547
1595.868,-9.974,0.026,-74.7008547
1596.068,-10.007,-0.007,-73.30891331
1596.468,-9.974,0.026,-74.72527473
1596.668,-9.974,0.026,-74.74969475
1596.868,-10.007,-0.007,-73.35775336
1597.268,-10.007,-0.007,-73.33333333
1597.468,-9.974,0.026,-74.74969475
1597.668,-9.974,0.026,-74.77411477
1597.868,-10.007,-0.007,-73.35775336
1598.268,-9.974,0.026,-74.77411477
1598.468,-10.007,-0.007,-73.35775336
1598.668,-10.007,-0.007,-73.35775336
1598.868,-9.974,0.026,-74.77411477
1599.268,-9.974,0.026,-74.77411477
1599.468,-9.974,0.026,-74.7985348
1599.668,-10.007,-0.007,-73.40659341
1599.868,-10.007,-0.007,-73.40659341
1600.268,-10.007,-0.007,-73.38217338
1600.468,-9.974,0.026,-74.7985348
1600.668,-10.007,-0.007,-73.40659341
1601.068,-10.007,-0.007,-73.38217338
1601.268,-10.007,-0.007,-73.38217338
1601.468,-10.007,-0.007,-73.38217338
1601.868,-10.007,-0.007,-73.38217338
1602.068,-10.007,-0.007,-73.35775336
1602.268,-10.007,-0.007,-73.35775336
1602.468,-10.007,-0.007,-73.35775336
1602.868,-10.007,-0.007,-73.35775336
1603.068,-10.007,-0.007,-73.35775336
1603.268,-10.007,-0.007,-73.33333333
1603.668,-10.007,-0.007,-73.33333333
1603.868,-10.007,-0.007,-73.33333333
1604.068,-10.007,-0.007,-73.33333333
1604.468,-10.007,-0.007,-73.30891331
1604.668,-10.007,-0.007,-73.30891331
1604.868,-10.007,-0.007,-73.30891331
1605.268,-10.007,-0.007,-73.30891331
1605.468,-10.007,-0.007,-73.30891331
1605.668,-10.007,-0.007,-73.28449328
1606.068,-10.007,-0.007,-73.28449328
1606.268,-10.007,-0.007,-73.28449328
1606.468,-10.007,-0.007,-73.28449328
1606.668,-10.007,-0.007,-73.28449328
1607.068,-10.007,-0.007,-73.26007326
1607.268,-10.007,-0.007,-73.26007326
1607.468,-10.007,-0.007,-73.26007326
1607.868,-10.007,-0.007,-73.26007326
1608.068,-10.007,-0.007,-73.23565324
1608.268,-10.007,-0.007,-73.23565324
1608.668,-10.007,-0.007,-73.23565324
1608.868,-10.007,-0.007,-73.23565324
1609.068,-10.007,-0.007,-73.23565324
1609.268,-10.007,-0.007,-73.21123321
1609.668,-10.007,-0.007,-73.21123321
1609.868,-10.007,-0.007,-73.21123321
1610.068,-10.007,-0.007,-73.21123321
1610.468,-10.007,-0.007,-73.18681319
1610.668,-10.007,-0.007,-73.18681319
1610.868,-10.007,-0.007,-73.18681319
1611.068,-10.007,-0.007,-73.18681319
1611.468,-10.007,-0.007,-73.18681319
1611.668,-9.974,0.026,-74.57875458
1611.868,-10.007,-0.007,-73.18681319
1612.268,-10.007,-0.007,-73.18681319
1612.468,-10.007,-0.007,-73.18681319
1612.668,-10.007,-0.007,-73.16239316
1612.868,-10.007,-0.007,-73.16239316
1613.268,-10.007,-0.007,-73.16239316
1613.468,-10.007,-0.007,-73.16239316
1613.668,-10.007,-0.007,-73.16239316
1614.068,-9.974,0.026,-74.55433455
1614.268,-10.007,-0.007,-73.16239316
1614.468,-10.007,-0.007,-73.16239316
1614.668,-9.974,0.026,-74.55433455
1615.068,-10.007,-0.007,-73.16239316
1615.268,-10.007,-0.007,-73.16239316
1615.468,-9.974,0.026,-74.55433455
1615.868,-9.974,0.026,-74.57875458
1616.068,-9.974,0.026,-74.57875458
1616.268,-9.974,0.026,-74.6031746
1616.468,-9.974,0.026,-74.62759463
1616.868,-9.94,0.06,-76.06837607
1617.068,-9.94,0.06,-76.11721612
1617.268,-9.94,0.06,-76.14163614
1617.668,-9.907,0.093,-77.63125763
1617.868,-9.874,0.126,-79.0964591
1618.068,-9.874,0.126,-79.16971917
1618.468,-9.84,0.16,-80.73260073
1618.668,-9.807,0.193,-82.24664225
1618.868,-9.807,0.193,-82.34432234
1619.268,-9.773,0.227,-84.004884
1619.468,-9.74,0.26,-85.54334554
1619.668,-9.74,0.26,-85.66544567
1619.868,-9.706,0.294,-87.22832723
1620.268,-9.673,0.327,-88.96214896
1620.468,-9.706,0.294,-87.74114774
1620.668,-9.639,0.361,-90.72039072
1621.068,-9.606,0.394,-92.52747253
1621.268,-9.606,0.394,-92.72283272
1621.468,-9.572,0.428,-94.35897436
1621.868,-9.539,0.461,-96.23931624
1622.068,-9.539,0.461,-96.50793651
1622.268,-9.539,0.461,-96.75213675
1622.468,-9.472,0.528,-99.82905983
1622.868,-9.472,0.528,-100
1623.068,-9.438,0.562,-100
1623.268,-9.438,0.562,-100
1623.468,-9.438,0.562,-100
1623.868,-9.438,0.562,-100
1624.068,-9.405,0.595,-100
1624.268,-9.405,0.595,-100
1624.468,-9.371,0.629,-100
1624.868,-9.371,0.629,-100
1625.068,-9.371,0.629,-100
1625.268,-9.338,0.662,-100
1625.468,-9.371,0.629,-100
1625.868,-9.338,0.662,-100
1626.068,-9.304,0.696,-100
1626.268,-9.304,0.696,-100
1626.668,-9.304,0.696,-100
1626.868,-9.304,0.696,-100
1627.068,-9.304,0.696,-100
1627.468,-9.304,0.696,-100
1627.668,-9.304,0.696,-100
1627.868,-9.304,0.696,-100
1628.068,-9.304,0.696,-100
1628.468,-9.304,0.696,-100
1628.668,-9.304,0.696,-100
1628.868,-9.304,0.696,-100
1629.068,-9.304,0.696,-100
1629.468,-9.304,0.696,-100
1629.668,-9.304,0.696,-100
1629.868,-9.338,0.662,-100
1630.268,-9.338,0.662,-100
1630.468,-9.371,0.629,-100
1630.668,-9.371,0.629,-100
1630.868,-9.371,0.629,-100
1631.268,-9.405,0.595,-100
1631.468,-9.405,0.595,-100
1631.668,-9.438,0.562,-100
1632.068,-9.438,0.562,-100
1632.268,-9.438,0.562,-100
1632.468,-9.472,0.528,-100
1632.668,-9.505,0.495,-100
1633.068,-9.539,0.461,-100
1633.268,-9.539,0.461,-100
1633.468,-9.539,0.461,-100
1633.868,-9.606,0.394,-100
1634.068,-9.606,0.394,-100
1634.268,-9.606,0.394,-100
1634.668,-9.639,0.361,-100
1634.868,-9.673,0.327,-100
1635.068,-9.673,0.327,-100
1635.468,-9.706,0.294,-100
1635.668,-9.74,0.26,-100
1635.868,-9.773,0.227,-100
1636.068,-9.773,0.227,-100
1636.468,-9.84,0.16,-100
1636.668,-9.84,0.16,-100
1636.868,-9.84,0.16,-100
1637.068,-9.874,0.126,-100
1637.468,-9.907,0.093,-100
1637.668,-9.94,0.06,-100
1637.868,-9.94,0.06,-100
1638.068,-9.974,0.026,-100
1638.468,-10.007,-0.007,-99.34065934
1638.668,-10.041,-0.041,-97.92429792
1638.868,-10.041,-0.041,-97.8998779
1639.068,-10.074,-0.074,-96.45909646
1639.468,-10.108,-0.108,-94.94505495
1639.668,-10.108,-0.108,-94.8962149
1639.868,-10.141,-0.141,-93.43101343
1640.068,-10.175,-0.175,-91.94139194
1640.468,-10.208,-0.208,-90.32967033
1640.668,-10.242,-0.242,-88.79120879
1640.868,-10.242,-0.242,-88.66910867
1641.068,-10.275,-0.275,-87.13064713
1641.468,-10.309,-0.309,-85.3968254
1641.668,-10.309,-0.309,-85.22588523
1641.868,-10.342,-0.342,-83.66300366
1642.268,-10.376,-0.376,-81.85592186
1642.468,-10.376,-0.376,-81.66056166
1642.668,-10.376,-0.376,-81.44078144
1643.068,-10.409,-0.409,-79.60927961
1643.268,-10.443,-0.443,-77.97313797
1643.468,-10.443,-0.443,-77.72893773
1643.668,-10.476,-0.476,-76.06837607
1644.068,-10.476,-0.476,-75.55555556
1644.268,-10.51,-0.51,-73.87057387
1644.468,-10.51,-0.51,-73.6019536
1644.868,-10.543,-0.543,-71.62393162
1645.068,-10.543,-0.543,-71.33089133
1645.268,-10.543,-0.543,-71.01343101
1645.468,-10.543,-0.543,-70.72039072
1645.868,-10.543,-0.543,-70.13431013
1646.068,-10.576,-0.576,-68.42490842
1646.268,-10.576,-0.576,-68.10744811
1646.668,-10.576,-0.576,-67.44810745
1646.868,-10.61,-0.61,-65.71428571
1647.068,-10.576,-0.576,-66.78876679
1647.268,-10.61,-0.61,-65.05494505
1647.668,-10.61,-0.61,-64.3956044
1647.868,-10.61,-0.61,-64.05372405
1648.068,-10.61,-0.61,-63.71184371
1648.468,-10.576,-0.576,-64.49328449
1648.668,-10.61,-0.61,-62.75946276
1648.868,-10.61,-0.61,-62.41758242
1649.068,-10.576,-0.576,-63.49206349
1649.468,-10.576,-0.576,-62.85714286
1649.668,-10.576,-0.576,-62.53968254
1649.868,-10.576,-0.576,-62.22222222
1650.068,-10.543,-0.543,-63.32112332
1650.468,-10.543,-0.543,-62.71062271
1650.668,-10.543,-0.543,-62.41758242
1650.868,-10.543,-0.543,-62.1001221
1651.268,-10.51,-0.51,-62.93040293
1651.468,-10.51,-0.51,-62.63736264
1651.668,-10.51,-0.51,-62.36874237
1652.068,-10.476,-0.476,-63.1990232
1652.268,-10.476,-0.476,-62.93040293
1652.468,-10.476,-0.476,-62.68620269
1652.668,-10.476,-0.476,-62.41758242
1653.068,-10.476,-0.476,-61.9047619
1653.268,-10.443,-0.443,-63.05250305
1653.468,-10.443,-0.443,-62.80830281
1653.868,-10.409,-0.409,-63.73626374
1654.068,-10.409,-0.409,-63.49206349
1654.268,-10.409,-0.409,-63.27228327
1654.668,-10.376,-0.376,-64.24908425
1654.868,-10.376,-0.376,-64.05372405
1655.068,-10.342,-0.342,-65.25030525
1655.268,-10.342,-0.342,-65.07936508
1655.668,-10.309,-0.309,-66.10500611
1655.868,-10.309,-0.309,-65.93406593
1656.068,-10.309,-0.309,-65.76312576
1656.468,-10.275,-0.275,-66.83760684
1656.668,-10.275,-0.275,-66.69108669
1656.868,-10.275,-0.275,-66.54456654
1657.068,-10.275,-0.275,-66.3980464
1657.468,-10.242,-0.242,-67.52136752
1657.668,-10.208,-0.208,-68.79120879
1657.868,-10.208,-0.208,-68.69352869
1658.268,-10.208,-0.208,-68.44932845
1658.468,-10.208,-0.208,-68.35164835
1658.668,-10.208,-0.208,-68.22954823
1659.068,-10.141,-0.141,-70.84249084
1659.268,-10.141,-0.141,-70.76923077
1659.468,-10.175,-0.175,-69.27960928
1659.668,-10.141,-0.141,-70.5982906
1660.068,-10.141,-0.141,-70.42735043
1660.268,-10.141,-0.141,-70.35409035
1660.468,-10.108,-0.108,-71.6971917
1660.668,-10.108,-0.108,-71.62393162
1661.068,-10.108,-0.108,-71.52625153
1661.268,-10.074,-0.074,-72.86935287
1661.468,-10.074,-0.074,-72.82051282
1661.668,-10.074,-0.074,-72.7960928
1662.068,-10.074,-0.074,-72.72283272
1662.268,-10.074,-0.074,-72.67399267
1662.468,-10.074,-0.074,-72.64957265
1662.868,-10.041,-0.041,-73.96825397
